locationjob,location,job,gd_salary,indeed_salary,ps_salary,city,state,vote,v_gd_salary,v_indeed_salary,v_ps_salary,avg_salary,remove_or_not,Region
fort lauderdale floridachief operating officer,fort lauderdale florida,chief operating officer,205449,158911,218705,FORT LAUDERDALE ,Florida,29,5958021,4608419,6342445,194355,no,South
tulsa oklahomachief operating officer,tulsa oklahoma,chief operating officer,205212,195464,294791,TULSA ,Oklahoma,7,1436484,1368248,2063537,231822.3333,no,South
frisco texasdirector of engineering,frisco texas,director of engineering,204999,173231,207229,FRISCO ,Texas,38,7789962,6582778,7874702,195153,no,South
des moines iowachief operating officer,des moines iowa,chief operating officer,204875,175306,209927,DES MOINES ,Iowa,6,1229250,1051836,1259562,196702.6667,no,Midwest
boulder coloradosenior software engineer,boulder colorado,senior software engineer,204849,137241,140000,BOULDER ,Colorado,9,1843641,1235169,1260000,160696.6667,no,West
norfolk virginiadirector of engineering,norfolk virginia,director of engineering,204714,101931,155534,NORFOLK ,Virginia,13,2661282,1325103,2021942,154059.6667,no,South
fresno californiachief operating officer,fresno california,chief operating officer,204512,208961,218380,FRESNO ,California,55,11248160,11492855,12010900,210617.6667,no,West
sacramento californiachief technology officer,sacramento california,chief technology officer,204508,249402,170000,SACRAMENTO ,California,55,11247940,13717110,9350000,207970,no,West
beaverton oregonchief operating officer,beaverton oregon,chief operating officer,204482,72941,144450,BEAVERTON ,Oregon,7,1431374,510587,1011150,140624.3333,no,West
boston massachusettschief operating officer,boston massachusetts,chief operating officer,204169,164401,348137,BOSTON ,Massachusetts,11,2245859,1808411,3829507,238902.3333,no,North East
salt lake city utahchief technology officer,salt lake city utah,chief technology officer,204166,336328,197500,SALT LAKE CITY ,Utah,6,1224996,2017968,1185000,245998,no,West
fort worth texaschief operating officer,fort worth texas,chief operating officer,204152,184265,167164,FORT WORTH ,Texas,38,7757776,7002070,6352232,185193.6667,no,South
wichita kansaschief operating officer,wichita kansas,chief operating officer,204029,217205,162154,WICHITA ,Kansas,6,1224174,1303230,972924,194462.6667,no,Midwest
scottsdale arizonachief operating officer,scottsdale arizona,chief operating officer,203951,113507,237500,SCOTTSDALE ,Arizona,11,2243461,1248577,2612500,184986,no,West
el paso texaschief operating officer,el paso texas,chief operating officer,203881,132512,162500,EL PASO ,Texas,38,7747478,5035456,6175000,166297.6667,no,South
frisco texaschief technology officer,frisco texas,chief technology officer,203856,189667,194380,FRISCO ,Texas,38,7746528,7207346,7386440,195967.6667,no,South
eugene oregonchief operating officer,eugene oregon,chief operating officer,203552,111651,191598,EUGENE ,Oregon,7,1424864,781557,1341186,168933.6667,no,West
pittsburgh pennsylvaniasenior software engineer,pittsburgh pennsylvania,senior software engineer,203481,136757,111428,PITTSBURGH ,Pennsylvania,20,4069620,2735140,2228560,150555.3333,no,North East
