locationjob,location,job,gd_salary,indeed_salary,ps_salary,city,state,vote,v_gd_salary,v_indeed_salary,v_ps_salary,avg_salary,remove_or_not,Region
chicago illinoisweb developer,chicago illinois,web developer,120319,139116,72000,CHICAGO ,Illinois,20,2406380,2782320,1440000,110478.3333,no,Midwest
san francisco california.net developer,san francisco california,.net developer,120286,105943,95000,SAN FRANCISCO ,California,55,6615730,5826865,5225000,107076.3333,no,West
redmond washingtoninformation technology manager,redmond washington,information technology manager,120280,94730,145000,REDMOND ,Washington,12,1443360,1136760,1740000,120003.3333,no,West
boston massachusettssoftware developer,boston massachusetts,software developer,120278,134011,124000,BOSTON ,Massachusetts,11,1323058,1474121,1364000,126096.3333,no,North East
phoenix arizonaapplication developer,phoenix arizona,application developer,120268,118422,92500,PHOENIX ,Arizona,11,1322948,1302642,1017500,110396.6667,no,West
philadelphia pennsylvaniait developer,philadelphia pennsylvania,it developer,120262,150259,108000,PHILADELPHIA ,Pennsylvania,20,2405240,3005180,2160000,126173.6667,no,North East
albany new yorkdata scientist,albany new york,data scientist,120207,187907,99990,ALBANY ,New York,29,3486003,5449303,2899710,136034.6667,no,North East
detroit michiganit support engineer,detroit michigan,it support engineer,120189,148192,61398,DETROIT ,Michigan,16,1923024,2371072,982368,109926.3333,no,Midwest
hillsboro oregonengineer manager,hillsboro oregon,engineer manager,120160,105428,123000,HILLSBORO ,Oregon,7,841120,737996,861000,116196,no,West
santa clara californiasoftware developer,santa clara california,software developer,120122,145576,125000,SANTA CLARA ,California,55,6606710,8006680,6875000,130232.6667,no,West
des moines iowajava developer,des moines iowa,java developer,120096,86261,66804,DES MOINES ,Iowa,6,720576,517566,400824,91053.66667,no,Midwest
milwaukee wisconsindata engineer,milwaukee wisconsin,data engineer,120009,122265,91400,MILWAUKEE ,Wisconsin,10,1200090,1222650,914000,111224.6667,no,Midwest
tampa floridajava developer,tampa florida,java developer,119974,103014,75030,TAMPA ,Florida,29,3479246,2987406,2175870,99339.33333,no,South
phoenix arizonadata engineer,phoenix arizona,data engineer,119972,163681,90410,PHOENIX ,Arizona,11,1319692,1800491,994510,124687.6667,no,West
baltimore marylandit developer,baltimore maryland,it developer,119944,172160,98264,BALTIMORE ,Maryland,10,1199440,1721600,982640,130122.6667,no,South
eugene oregonsoftware developer,eugene oregon,software developer,119934,74576,79432,EUGENE ,Oregon,7,839538,522032,556024,91314,no,West
san antonio texassoftware quality assurance engineer,san antonio texas,software quality assurance engineer,119931,118410,125135,SAN ANTONIO ,Texas,38,4557378,4499580,4755130,121158.6667,no,South
knoxville tennesseesoftware developer,knoxville tennessee,software developer,119917,98884,82424,KNOXVILLE ,Tennessee,11,1319087,1087724,906664,100408.3333,no,South
los angeles californiajava developer,los angeles california,java developer,119917,113059,88994,LOS ANGELES ,California,55,6595435,6218245,4894670,107323.3333,no,West
grand rapids michiganprincipal cloud engineer,grand rapids michigan,principal cloud engineer,119913,85812,91000,GRAND RAPIDS ,Michigan,16,1918608,1372992,1456000,98908.33333,no,Midwest
littleton coloradosolutions architect,littleton colorado,solutions architect,119912,125159,66129,LITTLETON ,Colorado,9,1079208,1126431,595161,103733.3333,no,West
fremont californiajava developer,fremont california,java developer,119912,87697,91563,FREMONT ,California,55,6595160,4823335,5035965,99724,no,West
lexington kentuckysenior systems engineer,lexington kentucky,senior systems engineer,119884,56872,85010,LEXINGTON ,Kentucky,8,959072,454976,680080,87255.33333,no,South
austin texasfrontend developer,austin texas,frontend developer,119866,111609,87834,AUSTIN ,Texas,38,4554908,4241142,3337692,106436.3333,no,South
kansas city missouriit developer,kansas city missouri,it developer,119864,95289,71000,KANSAS CITY ,Missouri,10,1198640,952890,710000,95384.33333,no,Midwest
new orleans louisianadirector of engineering,new orleans louisiana,director of engineering,119844,131059,92500,NEW ORLEANS ,Louisiana,8,958752,1048472,740000,114467.6667,no,South
dallas texasprincipal cloud engineer,dallas texas,principal cloud engineer,119837,95123,152423,DALLAS ,Texas,38,4553806,3614674,5792074,122461,no,South
louisville kentuckyjava developer,louisville kentucky,java developer,119818,104446,68784,LOUISVILLE ,Kentucky,8,958544,835568,550272,97682.66667,no,South
colorado springs coloradosenior security engineer,colorado springs colorado,senior security engineer,119814,101057,93500, SPRINGS ,Colorado,9,1078326,909513,841500,104790.3333,no,West
oklahoma city oklahomasenior web developer,oklahoma city oklahoma,senior web developer,119788,92093,78471, CITY ,Oklahoma,7,838516,644651,549297,96784,no,South
cleveland ohiojunior software engineer,cleveland ohio,junior software engineer,119788,76623,52414,CLEVELAND ,Ohio,18,2156184,1379214,943452,82941.66667,no,Midwest
jacksonville floridatechnical lead,jacksonville florida,technical lead,119772,102234,104000,JACKSONVILLE ,Florida,29,3473388,2964786,3016000,108668.6667,no,South
fort lauderdale floridait developer,fort lauderdale florida,it developer,119753,115357,100935,FORT LAUDERDALE ,Florida,29,3472837,3345353,2927115,112015,no,South
alexandria virginiaengineer manager,alexandria virginia,engineer manager,119655,115759,138000,ALEXANDRIA ,Virginia,13,1555515,1504867,1794000,124471.3333,no,South
knoxville tennesseejunior software engineer,knoxville tennessee,junior software engineer,119557,84513,50495,KNOXVILLE ,Tennessee,11,1315127,929643,555445,84855,no,South
dallas texassenior data scientist,dallas texas,senior data scientist,119545,142758,121344,DALLAS ,Texas,38,4542710,5424804,4611072,127882.3333,no,South
richmond virginiasoftware developer,richmond virginia,software developer,119502,120907,88820,RICHMOND ,Virginia,13,1553526,1571791,1154660,109743,no,South
grand rapids michiganapplication developer,grand rapids michigan,application developer,119488,90653,72414,GRAND RAPIDS ,Michigan,16,1911808,1450448,1158624,94185,no,Midwest
arlington texassoftware developer,arlington texas,software developer,119479,83761,82000,ARLINGTON ,Texas,38,4540202,3182918,3116000,95080,no,South
richmond virginiajava developer,richmond virginia,java developer,119468,117982,78500,RICHMOND ,Virginia,13,1553084,1533766,1020500,105316.6667,no,South
des moines iowasenior .net developer,des moines iowa,senior .net developer,119448,119756,95000,DES MOINES ,Iowa,6,716688,718536,570000,111401.3333,no,Midwest
memphis tennesseetechnical lead,memphis tennessee,technical lead,119444,135750,119792,MEMPHIS ,Tennessee,11,1313884,1493250,1317712,124995.3333,no,South
seattle washingtonios developer,seattle washington,ios developer,119406,153568,122449,SEATTLE ,Washington,12,1432872,1842816,1469388,131807.6667,no,West
hartford connecticutapplication developer,hartford connecticut,application developer,119389,86802,127451,HARTFORD ,Connecticut,7,835723,607614,892157,111214,no,North East
nashville tennesseesenior application developer,nashville tennessee,senior application developer,119358,107152,105221,NASHVILLE ,Tennessee,11,1312938,1178672,1157431,110577,no,South
indianapolis indianasolutions architect,indianapolis indiana,solutions architect,119325,103018,128000,POLIS ,Indiana,11,1312575,1133198,1408000,116781,no,Midwest
new york new yorkfrontend developer,new york new york,frontend developer,119299,120162,92280,New York,New York,29,3459671,3484698,2676120,110580.3333,no,North East
irvine californiasenior web developer,irvine california,senior web developer,119293,153261,119904,IRVINE ,California,55,6561115,8429355,6594720,130819.3333,no,West
lincoln nebraskasenior engineer,lincoln nebraska,senior engineer,119244,122686,150000,LINCOLN ,Nebraska,5,596220,613430,750000,130643.3333,no,Midwest
huntsville alabamasoftware developer,huntsville alabama,software developer,119201,111559,93350,HUNTSVILLE ,Alabama,9,1072809,1004031,840150,108036.6667,no,South
cincinnati ohiosenior web developer,cincinnati ohio,senior web developer,119145,98466,87429,CINCINNATI ,Ohio,18,2144610,1772388,1573722,101680,no,Midwest
redmond washingtonsenior engineer,redmond washington,senior engineer,119125,136613,158000,REDMOND ,Washington,12,1429500,1639356,1896000,137912.6667,no,West
boulder coloradosoftware developer,boulder colorado,software developer,119120,130094,79479,BOULDER ,Colorado,9,1072080,1170846,715311,109564.3333,no,West
des moines iowasoftware manager,des moines iowa,software manager,119031,91872,117500,DES MOINES ,Iowa,6,714186,551232,705000,109467.6667,no,Midwest
memphis tennesseeapplication developer,memphis tennessee,application developer,119025,84983,62984,MEMPHIS ,Tennessee,11,1309275,934813,692824,88997.33333,no,South
richardson texassenior systems engineer,richardson texas,senior systems engineer,119019,129043,77162,RICHARDSON ,Texas,38,4522722,4903634,2932156,108408,no,South
los angeles californiadata engineer,los angeles california,data engineer,118928,155558,126578,LOS ANGELES ,California,55,6541040,8555690,6961790,133688,no,West
littleton coloradosenior software engineer,littleton colorado,senior software engineer,118867,115894,135000,LITTLETON ,Colorado,9,1069803,1043046,1215000,123253.6667,no,West
wichita kansasbusiness intelligence developer,wichita kansas,business intelligence developer,118866,72320,80000,WICHITA ,Kansas,6,713196,433920,480000,90395.33333,no,Midwest
salt lake city utahmachine learning engineer,salt lake city utah,machine learning engineer,118860,108419,72208,SALT LAKE CITY ,Utah,6,713160,650514,433248,99829,no,West
arlington virginiachief technology officer,arlington virginia,chief technology officer,118762,130741,184335,ARLINGTON ,Virginia,13,1543906,1699633,2396355,144612.6667,no,South
jacksonville floridaapplication developer,jacksonville florida,application developer,118736,89228,47500,JACKSONVILLE ,Florida,29,3443344,2587612,1377500,85154.66667,no,South
alpharetta georgiasenior java developer,alpharetta georgia,senior java developer,118720,123481,109927,ALPHARETTA ,Georgia,16,1899520,1975696,1758832,117376,no,South
fremont californiasenior data scientist,fremont california,senior data scientist,118718,144532,144828,FREMONT ,California,55,6529490,7949260,7965540,136026,no,West
salt lake city utahinformation technology manager,salt lake city utah,information technology manager,118703,86181,188571,SALT LAKE CITY ,Utah,6,712218,517086,1131426,131151.6667,no,West
sunnyvale californiasite reliability engineer,sunnyvale california,site reliability engineer,118694,191139,95000,SUNNYVALE ,California,55,6528170,10512645,5225000,134944.3333,no,West
atlanta georgiajava developer,atlanta georgia,java developer,118668,97152,83000,ATLANTA ,Georgia,16,1898688,1554432,1328000,99606.66667,no,South
des moines iowadata engineer,des moines iowa,data engineer,118601,98861,82000,DES MOINES ,Iowa,6,711606,593166,492000,99820.66667,no,Midwest
huntsville alabamajunior software engineer,huntsville alabama,junior software engineer,118585,76741,70000,HUNTSVILLE ,Alabama,9,1067265,690669,630000,88442,no,South
plano texassenior java developer,plano texas,senior java developer,118537,124448,109942,PLANO ,Texas,38,4504406,4729024,4177796,117642.3333,no,South
philadelphia pennsylvaniaweb developer,philadelphia pennsylvania,web developer,118534,88069,78073,PHILADELPHIA ,Pennsylvania,20,2370680,1761380,1561460,94892,no,North East
chicago illinoismachine learning engineer,chicago illinois,machine learning engineer,118474,167266,100737,CHICAGO ,Illinois,20,2369480,3345320,2014740,128825.6667,no,Midwest
el paso texasdata engineer,el paso texas,data engineer,118453,99846,50000,EL PASO ,Texas,38,4501214,3794148,1900000,89433,no,South
dallas texassoftware developer,dallas texas,software developer,118369,136031,101000,DALLAS ,Texas,38,4498022,5169178,3838000,118466.6667,no,South
fort worth texasweb developer,fort worth texas,web developer,118367,84452,52500,FORT WORTH ,Texas,38,4497946,3209176,1995000,85106.33333,no,South
milwaukee wisconsinjunior software engineer,milwaukee wisconsin,junior software engineer,118349,70294,70642,MILWAUKEE ,Wisconsin,10,1183490,702940,706420,86428.33333,no,Midwest
irving texasit developer,irving texas,it developer,118334,141835,95000,IRVING ,Texas,38,4496692,5389730,3610000,118389.6667,no,South
eugene oregonsoftware engineer,eugene oregon,software engineer,118309,89482,82823,EUGENE ,Oregon,7,828163,626374,579761,96871.33333,no,West
chattanooga tennesseetechnical lead,chattanooga tennessee,technical lead,118299,59345,103970,CHATTANOOGA ,Tennessee,11,1301289,652795,1143670,93871.33333,no,South
houston texasit developer,houston texas,it developer,118250,118525,104964,HOUSTON ,Texas,38,4493500,4503950,3988632,113913,no,South
cincinnati ohiosenior java developer,cincinnati ohio,senior java developer,118242,86094,90644,CINCINNATI ,Ohio,18,2128356,1549692,1631592,98326.66667,no,Midwest
hillsboro oregonsoftware developer,hillsboro oregon,software developer,118209,119543,101657,HILLSBORO ,Oregon,7,827463,836801,711599,113136.3333,no,West
seattle washingtonweb developer,seattle washington,web developer,118191,98562,91953,SEATTLE ,Washington,12,1418292,1182744,1103436,102902,no,West
santa clara californiafrontend software engineer,santa clara california,frontend software engineer,118171,118802,108697,SANTA CLARA ,California,55,6499405,6534110,5978335,115223.3333,no,West
san francisco californiafrontend developer,san francisco california,frontend developer,118152,142381,136166,SAN FRANCISCO ,California,55,6498360,7830955,7489130,132233,no,West
madison wisconsinjava developer,madison wisconsin,java developer,118110,57694,66559,MADISON ,Wisconsin,10,1181100,576940,665590,80787.66667,no,Midwest
alexandria virginiasoftware engineer,alexandria virginia,software engineer,118105,147919,135269,ALEXANDRIA ,Virginia,13,1535365,1922947,1758497,133764.3333,no,South
rochester new yorksenior systems engineer,rochester new york,senior systems engineer,118088,99081,95000,ROCHESTER ,New York,29,3424552,2873349,2755000,104056.3333,no,North East
honolulu hawaiisolutions architect,honolulu hawaii,solutions architect,118079,105747,122449,HONOLULU ,Hawaii,4,472316,422988,489796,115425,no,West
sacramento californiaapplication developer,sacramento california,application developer,117993,93644,82000,SACRAMENTO ,California,55,6489615,5150420,4510000,97879,no,West
dayton ohiosoftware architect,dayton ohio,software architect,117991,117401,66948,DAYTON ,Ohio,18,2123838,2113218,1205064,100780,no,Midwest
fremont californiasolutions architect,fremont california,solutions architect,117990,84479,138314,FREMONT ,California,55,6489450,4646345,7607270,113594.3333,no,West
tempe arizonait developer,tempe arizona,it developer,117957,114164,75000,TEMPE ,Arizona,11,1297527,1255804,825000,102373.6667,no,West
fremont californiait developer,fremont california,it developer,117956,138115,87500,FREMONT ,California,55,6487580,7596325,4812500,114523.6667,no,West
scottsdale arizonasolutions architect,scottsdale arizona,solutions architect,117938,134836,97653,SCOTTSDALE ,Arizona,11,1297318,1483196,1074183,116809,no,West
richmond virginiasenior web developer,richmond virginia,senior web developer,117931,101125,104250,RICHMOND ,Virginia,13,1533103,1314625,1355250,107768.6667,no,South
nashville tennesseedata analyst,nashville tennessee,data analyst,117930,101429,87274,NASHVILLE ,Tennessee,11,1297230,1115719,960014,102211,no,South
virginia beach virginiatechnical lead,virginia beach virginia,technical lead,117929,101323,53500, BEACH ,Virginia,13,1533077,1317199,695500,90917.33333,no,South
charlotte north carolinajunior software engineer,charlotte north carolina,junior software engineer,117925,93238,64652,CHARLOTTE ,North Carolina,15,1768875,1398570,969780,91938.33333,no,South
bellevue washingtonapplication developer,bellevue washington,application developer,117920,96440,70000,BELLEVUE ,Washington,12,1415040,1157280,840000,94786.66667,no,West
charleston west virginiasenior engineer,charleston west virginia,senior engineer,117914,96617,121099,CHARLESTON ,West Virginia,5,589570,483085,605495,111876.6667,no,South
lexington kentuckysolutions architect,lexington kentucky,solutions architect,117834,88707,98000,LEXINGTON ,Kentucky,8,942672,709656,784000,101513.6667,no,South
dallas texasit developer,dallas texas,it developer,117779,135129,85299,DALLAS ,Texas,38,4475602,5134902,3241362,112735.6667,no,South
wichita kansassoftware developer,wichita kansas,software developer,117777,105400,82000,WICHITA ,Kansas,6,706662,632400,492000,101725.6667,no,Midwest
knoxville tennesseedata scientist,knoxville tennessee,data scientist,117767,218214,129060,KNOXVILLE ,Tennessee,11,1295437,2400354,1419660,155013.6667,no,South
las vegas nevadajunior software engineer,las vegas nevada,junior software engineer,117744,95382,60000,LAS VEGAS ,Nevada,6,706464,572292,360000,91042,no,West
sunnyvale californiasenior web developer,sunnyvale california,senior web developer,117732,159039,135359,SUNNYVALE ,California,55,6475260,8747145,7444745,137376.6667,no,West
san francisco californiadata analyst,san francisco california,data analyst,117698,155480,95306,SAN FRANCISCO ,California,55,6473390,8551400,5241830,122828,no,West
chicago illinoisios developer,chicago illinois,ios developer,117635,135039,100503,CHICAGO ,Illinois,20,2352700,2700780,2010060,117725.6667,no,Midwest
fort worth texasapplication developer,fort worth texas,application developer,117597,100305,97813,FORT WORTH ,Texas,38,4468686,3811590,3716894,105238.3333,no,South
tallahassee floridatechnical lead,tallahassee florida,technical lead,117568,65800,70000,TALLAHASSEE ,Florida,29,3409472,1908200,2030000,84456,no,South
louisville kentuckysoftware quality assurance engineer,louisville kentucky,software quality assurance engineer,117558,89201,82020,LOUISVILLE ,Kentucky,8,940464,713608,656160,96259.66667,no,South
cincinnati ohioapplication developer,cincinnati ohio,application developer,117543,88030,109960,CINCINNATI ,Ohio,18,2115774,1584540,1979280,105177.6667,no,Midwest
albuquerque new mexicofrontend software engineer,albuquerque new mexico,frontend software engineer,117542,89226,78920,ALBUQUERQUE ,New Mexico,5,587710,446130,394600,95229.33333,no,West
los angeles californiadata analyst,los angeles california,data analyst,117541,124131,87563,LOS ANGELES ,California,55,6464755,6827205,4815965,109745,no,West
harrisburg pennsylvaniabusiness intelligence developer,harrisburg pennsylvania,business intelligence developer,117538,94890,50675,HARRISBURG ,Pennsylvania,20,2350760,1897800,1013500,87701,no,North East
philadelphia pennsylvaniamachine learning engineer,philadelphia pennsylvania,machine learning engineer,117494,163233,127743,PHILADELPHIA ,Pennsylvania,20,2349880,3264660,2554860,136156.6667,no,North East
alexandria virginiasolutions architect,alexandria virginia,solutions architect,117481,59726,154839,ALEXANDRIA ,Virginia,13,1527253,776438,2012907,110682,no,South
scottsdale arizonasenior web developer,scottsdale arizona,senior web developer,117466,79882,107659,SCOTTSDALE ,Arizona,11,1292126,878702,1184249,101669,no,West
oklahoma city oklahomasoftware developer,oklahoma city oklahoma,software developer,117457,124674,77015, CITY ,Oklahoma,7,822199,872718,539105,106382,no,South
palo alto californiajava developer,palo alto california,java developer,117442,118216,162467,PALO ALTO ,California,55,6459310,6501880,8935685,132708.3333,no,West
spokane washingtonsolutions architect,spokane washington,solutions architect,117435,109103,110000,SPOKANE ,Washington,12,1409220,1309236,1320000,112179.3333,no,West
virginia beach virginiasenior software engineer,virginia beach virginia,senior software engineer,117422,129241,114000, BEACH ,Virginia,13,1526486,1680133,1482000,120221,no,South
birmingham alabamatechnical lead,birmingham alabama,technical lead,117388,103220,76772,BIRMINGHAM ,Alabama,9,1056492,928980,690948,99126.66667,no,South
littleton coloradoengineer manager,littleton colorado,engineer manager,117356,139366,124750,LITTLETON ,Colorado,9,1056204,1254294,1122750,127157.3333,no,West
mesa arizonasoftware engineer,mesa arizona,software engineer,117273,130032,95288,MESA ,Arizona,11,1290003,1430352,1048168,114197.6667,no,West
phoenix arizonait support engineer,phoenix arizona,it support engineer,117251,87551,72208,PHOENIX ,Arizona,11,1289761,963061,794288,92336.66667,no,West
san jose californiafrontend developer,san jose california,frontend developer,117203,115492,99789,SAN JOSE ,California,55,6446165,6352060,5488395,110828,no,West
raleigh north carolinasoftware manager,raleigh north carolina,software manager,117198,103031,100000,RALEIGH ,North Carolina,15,1757970,1545465,1500000,106743,no,South
durham north carolinadata scientist,durham north carolina,data scientist,117191,85525,120000,DURHAM ,North Carolina,15,1757865,1282875,1800000,107572,no,South
mobile alabamasenior engineer,mobile alabama,senior engineer,117129,203635,98000,MOBILE ,Alabama,9,1054161,1832715,882000,139588,no,South
omaha nebraskadata analyst,omaha nebraska,data analyst,117116,122115,81472,OMAHA ,Nebraska,5,585580,610575,407360,106901,no,Midwest
overland park kansassenior web developer,overland park kansas,senior web developer,117077,133787,99197,OVERLAND PARK ,Kansas,6,702462,802722,595182,116687,no,Midwest
pittsburgh pennsylvaniadata analyst,pittsburgh pennsylvania,data analyst,117027,88522,86606,PITTSBURGH ,Pennsylvania,20,2340540,1770440,1732120,97385,no,North East
fort worth texassoftware developer,fort worth texas,software developer,117011,140664,108415,FORT WORTH ,Texas,38,4446418,5345232,4119770,122030,no,South
frisco texassoftware quality assurance engineer,frisco texas,software quality assurance engineer,116995,67520,88989,FRISCO ,Texas,38,4445810,2565760,3381582,91168,no,South
provo utahdata analyst,provo utah,data analyst,116986,96251,90000,PROVO ,Utah,6,701916,577506,540000,101079,no,West
cary north carolinajunior software engineer,cary north carolina,junior software engineer,116971,66120,65500,CARY ,North Carolina,15,1754565,991800,982500,82863.66667,no,South
raleigh north carolinasenior web developer,raleigh north carolina,senior web developer,116944,100790,107500,RALEIGH ,North Carolina,15,1754160,1511850,1612500,108411.3333,no,South
fort lauderdale floridasenior systems engineer,fort lauderdale florida,senior systems engineer,116937,82831,95408,FORT LAUDERDALE ,Florida,29,3391173,2402099,2766832,98392,no,South
ann arbor michiganbusiness intelligence developer,ann arbor michigan,business intelligence developer,116925,82074,89365,ANN ARBOR ,Michigan,16,1870800,1313184,1429840,96121.33333,no,Midwest
miami floridaapplication developer,miami florida,application developer,116898,65855,74679,MIAMI ,Florida,29,3390042,1909795,2165691,85810.66667,no,South
salt lake city utahsoftware quality assurance engineer,salt lake city utah,software quality assurance engineer,116880,92654,110000,SALT LAKE CITY ,Utah,6,701280,555924,660000,106511.3333,no,West
omaha nebraska.net developer,omaha nebraska,.net developer,116848,107414,64500,OMAHA ,Nebraska,5,584240,537070,322500,96254,no,Midwest
albany new yorksoftware developer,albany new york,software developer,116845,112039,87429,ALBANY ,New York,29,3388505,3249131,2535441,105437.6667,no,North East
oklahoma city oklahomait developer,oklahoma city oklahoma,it developer,116790,113684,65328, CITY ,Oklahoma,7,817530,795788,457296,98600.66667,no,South
philadelphia pennsylvaniasoftware developer,philadelphia pennsylvania,software developer,116789,122356,102500,PHILADELPHIA ,Pennsylvania,20,2335780,2447120,2050000,113881.6667,no,North East
san jose californiaapplication developer,san jose california,application developer,116775,119322,110000,SAN JOSE ,California,55,6422625,6562710,6050000,115365.6667,no,West
madison wisconsindata engineer,madison wisconsin,data engineer,116769,71232,65000,MADISON ,Wisconsin,10,1167690,712320,650000,84333.66667,no,Midwest
oklahoma city oklahomajunior software engineer,oklahoma city oklahoma,junior software engineer,116767,82468,46400, CITY ,Oklahoma,7,817369,577276,324800,81878.33333,no,South
boston massachusettsjava developer,boston massachusetts,java developer,116750,121921,98264,BOSTON ,Massachusetts,11,1284250,1341131,1080904,112311.6667,no,North East
louisville kentuckysenior application developer,louisville kentucky,senior application developer,116732,104382,94000,LOUISVILLE ,Kentucky,8,933856,835056,752000,105038,no,South
atlanta georgiait developer,atlanta georgia,it developer,116720,146305,75027,ATLANTA ,Georgia,16,1867520,2340880,1200432,112684,no,South
san jose californiamachine learning engineer,san jose california,machine learning engineer,116708,160168,140077,SAN JOSE ,California,55,6418940,8809240,7704235,138984.3333,no,West
grand rapids michigantechnical lead,grand rapids michigan,technical lead,116694,91996,92271,GRAND RAPIDS ,Michigan,16,1867104,1471936,1476336,100320.3333,no,Midwest
irvine californiasenior software engineer,irvine california,senior software engineer,116671,154034,139004,IRVINE ,California,55,6416905,8471870,7645220,136569.6667,no,West
nashville tennesseejava developer,nashville tennessee,java developer,116593,86161,68000,NASHVILLE ,Tennessee,11,1282523,947771,748000,90251.33333,no,South
las vegas nevadait developer,las vegas nevada,it developer,116562,159438,80000,LAS VEGAS ,Nevada,6,699372,956628,480000,118666.6667,no,West
el paso texasjava developer,el paso texas,java developer,116484,129356,57288,EL PASO ,Texas,38,4426392,4915528,2176944,101042.6667,no,South
buffalo new yorkbusiness intelligence developer,buffalo new york,business intelligence developer,116458,106032,67827,BUFFALO ,New York,29,3377282,3074928,1966983,96772.33333,no,North East
dayton ohiomachine learning engineer,dayton ohio,machine learning engineer,116454,129171,75683,DAYTON ,Ohio,18,2096172,2325078,1362294,107102.6667,no,Midwest
washington district of columbiait developer,washington district of columbia,it developer,116453,143778,101161, DISTRICT OF COLUMBIA,Washington,12,1397436,1725336,1213932,120464,no,West
cincinnati ohiosenior security engineer,cincinnati ohio,senior security engineer,116438,70607,61463,CINCINNATI ,Ohio,18,2095884,1270926,1106334,82836,no,Midwest
salt lake city utahit support engineer,salt lake city utah,it support engineer,116400,70715,105000,SALT LAKE CITY ,Utah,6,698400,424290,630000,97371.66667,no,West
richmond virginiasenior java developer,richmond virginia,senior java developer,116399,112410,107990,RICHMOND ,Virginia,13,1513187,1461330,1403870,112266.3333,no,South
seattle washingtonsenior data analyst,seattle washington,senior data analyst,116369,102803,104762,SEATTLE ,Washington,12,1396428,1233636,1257144,107978,no,West
los angeles californiaweb developer,los angeles california,web developer,116313,175921,81308,LOS ANGELES ,California,55,6397215,9675655,4471940,124514,no,West
akron ohiosenior engineer,akron ohio,senior engineer,116293,97032,103000,AKRON ,Ohio,18,2093274,1746576,1854000,105441.6667,no,Midwest
richmond virginiabusiness intelligence developer,richmond virginia,business intelligence developer,116261,102744,81417,RICHMOND ,Virginia,13,1511393,1335672,1058421,100140.6667,no,South
reno nevadadata analyst,reno nevada,data analyst,116220,80468,62400,RENO ,Nevada,6,697320,482808,374400,86362.66667,no,West
tucson arizonadata analyst,tucson arizona,data analyst,116206,98063,60000,TUCSON ,Arizona,11,1278266,1078693,660000,91423,no,West
portland oregonsoftware developer,portland oregon,software developer,116190,120996,93686,PORTLAND ,Oregon,7,813330,846972,655802,110290.6667,no,West
phoenix arizonait developer,phoenix arizona,it developer,116081,136582,110500,PHOENIX ,Arizona,11,1276891,1502402,1215500,121054.3333,no,West
ann arbor michigansenior business intelligence developer,ann arbor michigan,senior business intelligence developer,116067,107265,95447,ANN ARBOR ,Michigan,16,1857072,1716240,1527152,106259.6667,no,Midwest
columbia south carolinadata analyst,columbia south carolina,data analyst,116052,111507,52000,COLUMBIA ,South Carolina,9,1044468,1003563,468000,93186.33333,no,South
irving texassoftware architect,irving texas,software architect,115997,127385,135339,IRVING ,Texas,38,4407886,4840630,5142882,126240.3333,no,South
lubbock texasinformation technology manager,lubbock texas,information technology manager,115935,62821,66866,LUBBOCK ,Texas,38,4405530,2387198,2540908,81874,no,South
scottsdale arizonaengineer manager,scottsdale arizona,engineer manager,115906,128488,176874,SCOTTSDALE ,Arizona,11,1274966,1413368,1945614,140422.6667,no,West
albuquerque new mexicodata scientist,albuquerque new mexico,data scientist,115887,227900,128432,ALBUQUERQUE ,New Mexico,5,579435,1139500,642160,157406.3333,no,West
indianapolis indianaapplication developer,indianapolis indiana,application developer,115857,88603,108302,POLIS ,Indiana,11,1274427,974633,1191322,104254,no,Midwest
overland park kansassenior java developer,overland park kansas,senior java developer,115817,99664,98684,OVERLAND PARK ,Kansas,6,694902,597984,592104,104721.6667,no,Midwest
bellevue washingtonsoftware manager,bellevue washington,software manager,115815,107006,120151,BELLEVUE ,Washington,12,1389780,1284072,1441812,114324,no,West
providence rhode islandweb developer,providence rhode island,web developer,115781,93878,82000,PROVIDENCE ,Rhode Island,4,463124,375512,328000,97219.66667,no,North East
kansas city missourisoftware developer,kansas city missouri,software developer,115750,93163,80500,KANSAS CITY ,Missouri,10,1157500,931630,805000,96471,no,Midwest
memphis tennesseeit developer,memphis tennessee,it developer,115735,127444,56500,MEMPHIS ,Tennessee,11,1273085,1401884,621500,99893,no,South
irvine californiadata scientist,irvine california,data scientist,115723,204647,136628,IRVINE ,California,55,6364765,11255585,7514540,152332.6667,no,West
tampa floridaweb developer,tampa florida,web developer,115722,86805,83000,TAMPA ,Florida,29,3355938,2517345,2407000,95175.66667,no,South
mobile alabamaengineer manager,mobile alabama,engineer manager,115711,127704,63871,MOBILE ,Alabama,9,1041399,1149336,574839,102428.6667,no,South
atlanta georgiacyber security engineer,atlanta georgia,cyber security engineer,115704,122306,168742,ATLANTA ,Georgia,16,1851264,1956896,2699872,135584,no,South
washington district of columbiasoftware developer,washington district of columbia,software developer,115692,116117,120000, DISTRICT OF COLUMBIA,Washington,12,1388304,1393404,1440000,117269.6667,no,West
jacksonville floridasoftware manager,jacksonville florida,software manager,115681,90495,73600,JACKSONVILLE ,Florida,29,3354749,2624355,2134400,93258.66667,no,South
ann arbor michiganios developer,ann arbor michigan,ios developer,115680,107088,104964,ANN ARBOR ,Michigan,16,1850880,1713408,1679424,109244,no,Midwest
los angeles californiaapplication developer,los angeles california,application developer,115674,169483,91322,LOS ANGELES ,California,55,6362070,9321565,5022710,125493,no,West
