job,state,1,2,3,4,5,count
chief operating officer,Pennsylvania,180940.58335,183890.41665,185365.3333,200677.99997499998,231303.333325,3
chief operating officer,South Carolina,158314.41665,159832.58335,160591.6667,168920.58335,185578.41665,3
chief operating officer,Tennessee,166299.7917,180583.2083625,186062.83335,191542.4583375,230490.875,4
chief operating officer,Texas,174173.666675,189827.6667,203729.6667,225430.66665,238942.91665,7
chief operating officer,Utah,203597.3333,203597.3333,203597.3333,203597.3333,203597.3333,1
chief operating officer,Virginia,159438.166675,172180.5416375,179105.16665,186029.7916625,201832.7916875,4
chief operating officer,Washington,167263.1667,185262.6667,192240.6667,195738.0,218500.3333,5
chief operating officer,Wisconsin,240355.3333,240355.3333,240355.3333,240355.3333,240355.3333,1
chief technology officer,Alabama,154414.25002500002,160889.416675,164127.0,165453.083325,168105.24997499998,3
chief technology officer,Arizona,172961.0,198783.0,206949.0,209330.33335,242257.83335,5
chief technology officer,Arkansas,182473.6667,182473.6667,182473.6667,182473.6667,182473.6667,1
chief technology officer,California,166052.6667,185671.6667,201601.0,221385.0,247580.3333,17
chief technology officer,Colorado,194895.6667,199093.6667,201192.6667,218754.4167,253877.9167,3
chief technology officer,Connecticut,215162.6667,215162.6667,215162.6667,215162.6667,215162.6667,1
chief technology officer,Florida,158483.1667,165259.1667,177161.6667,187920.666675,237561.083325,7
chief technology officer,Georgia,239150.3333,239150.3333,239150.3333,239150.3333,239150.3333,1
chief technology officer,Hawaii,156389.6667,156389.6667,156389.6667,156389.6667,156389.6667,1
chief technology officer,Idaho,269296.3333,269296.3333,269296.3333,269296.3333,269296.3333,1
chief technology officer,Illinois,283736.6667,283736.6667,283736.6667,283736.6667,283736.6667,1
chief technology officer,Indiana,113481.874975,139876.958325,153074.5,166272.041675,192667.12502500002,2
chief technology officer,Kansas,185206.5833,185745.0833,186014.3333,186283.5833,186822.0833,2
chief technology officer,Kentucky,162736.875,165162.625,166375.5,167588.375,170014.125,2
chief technology officer,Louisiana,153414.6667,153414.6667,153414.6667,153414.6667,153414.6667,1
chief technology officer,Maryland,189202.3333,189202.3333,189202.3333,189202.3333,189202.3333,1
chief technology officer,Massachusetts,235740.8333625,251573.1666875,259489.33335,267405.5000125,283237.8333375,2
chief technology officer,Michigan,155828.7083375,155904.1250125,155941.83335,155979.5416875,156054.9583625,2
chief technology officer,Minnesota,195687.0,195687.0,195687.0,195687.0,195687.0,1
chief technology officer,Missouri,255647.3333,255647.3333,255647.3333,255647.3333,255647.3333,1
chief technology officer,Nevada,239517.3333,239517.3333,239517.3333,239517.3333,239517.3333,1
chief technology officer,New Mexico,154588.0,154588.0,154588.0,154588.0,154588.0,1
chief technology officer,New York,163147.75,168588.9166625,173493.66665,178398.4166375,259023.1249875,4
chief technology officer,North Carolina,159280.1666875,164791.75,177514.0,190236.25,213072.2083125,4
chief technology officer,Ohio,181370.66665,210431.33335,224961.6667,230103.75002500002,240387.916675,3
chief technology officer,Oklahoma,180345.9167,182026.4167,182866.6667,183706.9167,185387.4167,2
chief technology officer,Oregon,272197.6667,272197.6667,272197.6667,272197.6667,272197.6667,1
chief technology officer,Pennsylvania,150812.5833,171965.0833,182541.3333,214958.8333,279793.8333,3
chief technology officer,South Carolina,155159.62502500002,162427.541675,166061.5,169695.458325,176963.37497499998,2
chief technology officer,South Dakota,144406.0,144406.0,144406.0,144406.0,144406.0,1
chief technology officer,Tennessee,169071.66665,170922.33335,171847.6667,187560.58335,218986.41665,3
chief technology officer,Texas,175233.9167,196179.6667,196815.6667,244882.666675,273090.750025,7
chief technology officer,Utah,245998.0,245998.0,245998.0,245998.0,245998.0,1
chief technology officer,Virginia,149356.6667,162859.5,171618.3333,172175.8333,173560.0,5
chief technology officer,Washington,169374.9583,203479.3333,220234.3333,236989.3333,264001.6249875,4
chief technology officer,Wisconsin,185622.125,192872.375,196497.5,200122.625,207372.875,2
cloud engineer,Arizona,131864.0,131864.0,131864.0,131864.0,131864.0,1
cloud engineer,California,142055.0,142055.0,142055.0,142055.0,142055.0,1
cloud engineer,Colorado,126111.6667,126111.6667,126111.6667,126111.6667,126111.6667,1
cloud engineer,Connecticut,114100.0,114100.0,114100.0,114100.0,114100.0,1
cloud engineer,Georgia,118536.3333,118536.3333,118536.3333,118536.3333,118536.3333,1
cloud engineer,Minnesota,116062.6667,116062.6667,116062.6667,116062.6667,116062.6667,1
cloud engineer,Oregon,126754.0,126754.0,126754.0,126754.0,126754.0,1
cloud engineer,Texas,109108.08336250001,115976.9166875,119411.33335,122845.75001250001,129714.5833375,2
cyber security engineer,Arizona,108177.4583375,120446.37501250001,126580.83335,132715.2916875,144984.2083625,2
cyber security engineer,California,111018.4166875,125649.2083375,129895.33335,133034.3333625,152158.2500125,6
cyber security engineer,Colorado,150418.6667,150418.6667,150418.6667,150418.6667,150418.6667,1
cyber security engineer,Florida,118693.58336250001,127279.4166875,131572.33335,135865.2500125,144451.0833375,2
cyber security engineer,Georgia,135584.0,135584.0,135584.0,135584.0,135584.0,1
cyber security engineer,Illinois,149181.6667,149181.6667,149181.6667,149181.6667,149181.6667,1
cyber security engineer,Indiana,136967.3333,136967.3333,136967.3333,136967.3333,136967.3333,1
cyber security engineer,Maryland,105752.87500125,121339.95834375,129133.500015,136927.04168625,152514.12502875,2
cyber security engineer,Massachusetts,147447.6667,147447.6667,147447.6667,147447.6667,147447.6667,1
cyber security engineer,Minnesota,126101.0,126101.0,126101.0,126101.0,126101.0,1
cyber security engineer,Nebraska,108601.6667,108601.6667,108601.6667,108601.6667,108601.6667,1
cyber security engineer,Nevada,121967.6667,121967.6667,121967.6667,121967.6667,121967.6667,1
cyber security engineer,New Jersey,102348.6667,102348.6667,102348.6667,102348.6667,102348.6667,1
cyber security engineer,New Mexico,98171.66667,98171.66667,98171.66667,98171.66667,98171.66667,1
cyber security engineer,New York,158542.6667,158542.6667,158542.6667,158542.6667,158542.6667,1
cyber security engineer,North Carolina,104715.4166725,122697.5833575,131688.6667,138496.58335,152112.41665,3
cyber security engineer,Ohio,106985.1666725,126236.8333575,135862.6667,136845.33335,138810.66665,3
cyber security engineer,Pennsylvania,133563.6667,133563.6667,133563.6667,133563.6667,133563.6667,1
cyber security engineer,Tennessee,104984.7083375,112586.12501250001,116386.83335,120187.5416875,127788.95836250001,2
cyber security engineer,Texas,94182.0,104355.333335,113227.0,134232.0,169894.0,5
cyber security engineer,Utah,78172.33333,78172.33333,78172.33333,78172.33333,78172.33333,1
cyber security engineer,Virginia,88292.66668125,100626.95836250001,101224.83335,101822.7083375,113280.9583125,4
cyber security engineer,Washington,109550.5833,120701.0833,126276.3333,134023.0833,149516.5833,3
data analyst,Alabama,92590.83333375,92922.50000125001,93088.333335,93254.16666875,93585.83333625001,2
data analyst,Arizona,88059.37499874999,92530.16666374999,93096.0,93843.3750025,98098.45833125,6
data analyst,Arkansas,76984.5,77217.5,77334.0,77771.0833325,78645.2499975,3
data analyst,California,88365.0000025,104300.916675,109737.66665,110620.5416875,121535.04163749999,16
data analyst,Colorado,92483.12500125001,97608.49999875,101303.999985,104999.49997125,110255.291675,4
data analyst,Connecticut,102961.3333,102961.3333,102961.3333,102961.3333,102961.3333,1
data analyst,Florida,83170.12499874999,89947.83333625001,93075.16667,96132.58333625001,103618.25001250001,6
data analyst,Georgia,112315.0,112315.0,112315.0,112315.0,112315.0,1
data analyst,Hawaii,88162.0,88162.0,88162.0,88162.0,88162.0,1
data analyst,Idaho,85796.66667,85796.66667,85796.66667,85796.66667,85796.66667,1
data analyst,Illinois,90652.8333375,98500.50001250001,102424.33335,106348.1666875,114195.83336250001,2
data analyst,Indiana,69716.3333325,77876.9999975,81957.33333,83295.2499975,85971.0833325,3
data analyst,Iowa,90484.3750025,92107.7916675,92919.5,93731.2083325,95354.6249975,2
data analyst,Kansas,85350.1250025,89177.0416675,91090.5,93003.9583325,96830.8749975,2
data analyst,Kentucky,80952.83333,84155.83333,85757.33333,87358.83333,90561.83333,2
data analyst,Louisiana,99472.0,99472.0,99472.0,99472.0,99472.0,1
data analyst,Maine,80491.0,80491.0,80491.0,80491.0,80491.0,1
data analyst,Maryland,100833.6667,100833.6667,100833.6667,100833.6667,100833.6667,1
data analyst,Massachusetts,94436.20832625,101279.95831875,104701.833315,108123.70831125,114967.45830375,2
data analyst,Michigan,83281.5833325,90042.7499975,93423.33333,96205.0833225,101768.5833075,3
data analyst,Minnesota,83910.7500025,87806.9166675,89755.0,91703.0833325,95599.2499975,2
data analyst,Missouri,82407.20833375,84489.62500125001,85530.833335,86572.04166875,88654.45833625001,2
data analyst,Nebraska,84151.58333625001,90651.41666875,93901.333335,97151.25000125001,103651.08333375,2
data analyst,Nevada,88559.70833625001,92953.79166875,95150.833335,97347.87500125001,101741.95833375,2
data analyst,New Jersey,107111.3333,107111.3333,107111.3333,107111.3333,107111.3333,1
data analyst,New Mexico,92785.33333,92785.33333,92785.33333,92785.33333,92785.33333,1
