locationjob,location,job,gd_location,gd_job,ps_location,ps_job,indeed_location,indeed_location.1,gd_salary,ps_salary,indeed_salary,gd_date,ps_date,indeed_date,gd_two_date,ps_two_date,indeed_two_date,avg_salary
nashville tennesseesenior software manager,nashville tennessee,senior software manager,nashville tennessee,senior software manager,nashville tennessee,senior software manager,,,142860,110000,,,,,,,,126430
richmond virginiasoftware architect,richmond virginia,software architect,richmond virginia,software architect,richmond virginia,software architect,richmond virginia,software architect,133113,120709,125410,,,12-Jun-23,,,,126410.6667
vermontsoftware engineer,vermont,software engineer,vermont,software engineer,,,vermont,software engineer,152578,,100231,,,13-Jun-23,,,,126404.5
rochester new yorksenior software engineer,rochester new york,senior software engineer,rochester new york,senior software engineer,rochester new york,senior software engineer,rochester new york,senior software engineer,124711,121964,132480,,,27-May-23,,,,126385
orlando floridadirector of information technology,orlando florida,director of information technology,orlando florida,director of information technology,orlando florida,director of information technology,orlando florida,director of information technology,163216,91335,124574,,,,,,,126375
indianaprincipal technical lead,indiana,principal technical lead,indiana,principal technical lead,,,indiana,principal technical lead,127682,,125029,,,27-May-23,,,,126355.5
chandler arizonadirector of engineering,chandler arizona,director of engineering,chandler arizona,director of engineering,chandler arizona,director of engineering,chandler arizona,director of engineering,137351,114500,127208,,,16-Dec-21,,,With two date,126353
rochester new yorksoftware engineer,rochester new york,software engineer,rochester new york,software engineer,rochester new york,software engineer,rochester new york,software engineer,134090,126761,118186,,,20-Mar-22,,,,126345.6667
jersey city new jerseysenior software developer,jersey city new jersey,senior software developer,jersey city new jersey,senior software developer,,,jersey city new jersey,senior software developer,126108,,126528,,,,,,,126318
charlotte north carolinasenior system engineer,charlotte north carolina,senior system engineer,charlotte north carolina,senior system engineer,,,charlotte north carolina,senior system engineer,134149,,118485,,,,,,,126317
pittsburgh pennsylvaniasoftware manager,pittsburgh pennsylvania,software manager,pittsburgh pennsylvania,software manager,pittsburgh pennsylvania,software manager,pittsburgh pennsylvania,software manager,149638,120890,108415,,,19-Oct-22,,,,126314.3333
detroit michiganit management consultant,detroit michigan,it management consultant,detroit michigan,it management consultant,,,,,112060,114783,152092,,,,,,,126311.6667
little rock arkansasjunior chief operating officer,little rock arkansas,junior chief operating officer,little rock arkansas,junior chief operating officer,,,,,120745,,131866,,,,,,,126305.5
virginia beach virginiajava developer,virginia beach virginia,java developer,virginia beach virginia,java developer,,,virginia beach virginia,java developer,111704,,140869,,,,,,,126286.5
sacramento californiacloud engineer,sacramento california,cloud engineer,sacramento california,cloud engineer,,,sacramento california,cloud engineer,121720,,130841,,,,,,,126280.5
seattle washingtoncyber security engineer,seattle washington,cyber security engineer,seattle washington,cyber security engineer,seattle washington,cyber security engineer,seattle washington,cyber security engineer,127831,121924,129074,,,21-Feb-23,,,With two date,126276.3333
irving texasprincipal software engineer,irving texas,principal software engineer,irving texas,principal software engineer,irving texas,principal software engineer,irving texas,principal software engineer,150440,142500,85816,,,,,,,126252
irving texassoftware architect,irving texas,software architect,irving texas,software architect,irving texas,software architect,irving texas,software architect,115997,135339,127385,,,3-Apr-23,,,,126240.3333
albany new yorktechnical lead,albany new york,technical lead,albany new york,technical lead,albany new york,technical lead,,,127469,125000,,,,,,,,126234.5
oregonmachine learning engineer,oregon,machine learning engineer,oregon,machine learning engineer,,,oregon,machine learning engineer,112707,,139757,,,,,,,126232
madison wisconsinjunior director of engineering,madison wisconsin,junior director of engineering,madison wisconsin,junior director of engineering,,,madison wisconsin,junior director of engineering,143121,,109252,,,24-Apr-23,,,With two date,126186.5
seattle washingtonfullstack software developer,seattle washington,fullstack software developer,seattle washington,fullstack software developer,seattle washington,fullstack software developer,,,120262,108000,150259,,,,,,,126173.6667
fremont californiasenior systems engineer,fremont california,senior systems engineer,fremont california,senior systems engineer,fremont california,senior systems engineer,,,122323,130000,,,,,,,,126161.5
californiacloud engineer,california,cloud engineer,california,cloud engineer,,,california,cloud engineer,120686,,131622,,,,,,,126154
idahoinformation technology manager,idaho,information technology manager,idaho,information technology manager,,,idaho,information technology manager,171322,,80960,,,,,,,126141
georgiaengineer manager,georgia,engineer manager,georgia,engineer manager,,,georgia,engineer manager,122797,,129474,,,,,,,126135.5
atlanta georgiasenior .net developer,atlanta georgia,senior .net developer,atlanta georgia,senior .net developer,atlanta georgia,senior .net developer,atlanta georgia,senior .net developer,135939,110019,132439,,,14-May-23,,,,126132.3333
ottawa ontariosenior frontend developer,ottawa ontario,senior frontend developer,ottawa ontario,senior frontend developer,,,,,127642,116800,133928,,,,,,,126123.3333
milpitas californiadata analyst,milpitas california,data analyst,milpitas california,data analyst,,,milpitas california,data analyst,105518,,146707,,,,,,,126112.5
denver coloradocloud engineer,denver colorado,cloud engineer,denver colorado,cloud engineer,denver colorado,cloud engineer,denver colorado,cloud engineer,128565,134815,114955,,,,,,,126111.6667
fremont californiadata engineer,fremont california,data engineer,fremont california,data engineer,fremont california,data engineer,fremont california,data engineer,106558,121681,150086,,,,,,,126108.3333
vancouver bcdata scientist,vancouver bc,data scientist,vancouver bc,data scientist,,,vancouver bc,data scientist,97268,,154937,,,7-Mar-23,,,With two date,126102.5
minneapolis minnesotacyber security engineer,minneapolis minnesota,cyber security engineer,minneapolis minnesota,cyber security engineer,minneapolis minnesota,cyber security engineer,minneapolis minnesota,cyber security engineer,103513,110752,164038,,28-Feb-20,,,With two date,,126101
mainesenior java developer,maine,senior java developer,maine,senior java developer,,,maine,senior java developer,123454,,128744,,,,,,,126099
boston massachusettssoftware developer,boston massachusetts,software developer,boston massachusetts,software developer,boston massachusetts,software developer,boston massachusetts,software developer,120278,124000,134011,,,25-Apr-23,,,,126096.3333
seattle washingtonapplication developer,seattle washington,application developer,seattle washington,application developer,seattle washington,application developer,seattle washington,application developer,137376,101000,139823,,,,,,,126066.3333
omaha nebraskasenior software developer,omaha nebraska,senior software developer,omaha nebraska,senior software developer,,,omaha nebraska,senior software developer,156621,,95475,,,,,,,126048
phoenix arizonasenior site reliability engineer,phoenix arizona,senior site reliability engineer,phoenix arizona,senior site reliability engineer,phoenix arizona,senior site reliability engineer,,,125402,126690,,,,,,,,126046
west palm beach floridasenior software engineer,west palm beach florida,senior software engineer,west palm beach florida,senior software engineer,west palm beach florida,senior software engineer,west palm beach florida,senior software engineer,156963,109927,111237,,,,,,,126042.3333
connecticutsoftware engineer,connecticut,software engineer,connecticut,software engineer,,,connecticut,software engineer,131065,,121008,15-Sep-22,,29-Mar-23,,,With two date,126036.5
ontario californiasoftware engineer,ontario california,software engineer,ontario california,software engineer,ontario california,software engineer,ontario california,software engineer,135542,114258,128288,,,9-Jun-23,,,With two date,126029.3333
long beach californiasoftware engineer,long beach california,software engineer,long beach california,software engineer,long beach california,software engineer,long beach california,software engineer,111872,111185,155030,,,,,,,126029
atlanta georgiadata engineer,atlanta georgia,data engineer,atlanta georgia,data engineer,atlanta georgia,data engineer,atlanta georgia,data engineer,104177,153847,119988,,,27-Apr-23,,,,126004
ohiocloud engineer,ohio,cloud engineer,ohio,cloud engineer,,,ohio,cloud engineer,142782,,109185,,,11-May-23,,,,125983.5
pittsburgh pennsylvaniasenior site reliability engineer,pittsburgh pennsylvania,senior site reliability engineer,pittsburgh pennsylvania,senior site reliability engineer,pittsburgh pennsylvania,senior site reliability engineer,,,132163,119792,,,,,,,,125977.5
spokane washingtonruby execut4e,spokane washington,ruby execut4e,spokane washington,ruby execut4e,,,,,136101,125563,116218,,,,,,,125960.6667
chattanooga tennesseesenior engineering manager,chattanooga tennessee,senior engineering manager,chattanooga tennessee,senior engineering manager,chattanooga tennessee,senior engineering manager,chattanooga tennessee,senior engineering manager,140175,137500,100180,,,,,,,125951.6667
cleveland ohiomachine learning engineer,cleveland ohio,machine learning engineer,cleveland ohio,machine learning engineer,cleveland ohio,machine learning engineer,cleveland ohio,machine learning engineer,108922,74836,194029,,,19-May-23,,,With two date,125929
connecticutit developer,connecticut,it developer,connecticut,it developer,,,connecticut,it developer,112081,,139770,,,,,,,125925.5
salt lake city utahsolutions architect,salt lake city utah,solutions architect,salt lake city utah,solutions architect,salt lake city utah,solutions architect,salt lake city utah,solutions architect,125766,131483,120512,,,,,,,125920.3333
chicago illinoisjunior software engineer,chicago illinois,junior software engineer,chicago illinois,junior software engineer,chicago illinois,junior software engineer,chicago illinois,junior software engineer,114052,65500,198152,,,27-Apr-23,,,,125901.3333
toronto (canada)software engineer 2,toronto (canada),software engineer 2,toronto (canada),software engineer 2,,,,,110697,109275,157704,8-May-23,,,,,,125892
austin texassenior java developer,austin texas,senior java developer,austin texas,senior java developer,austin texas,senior java developer,austin texas,senior java developer,133154,116896,127576,,,,,,,125875.3333
albuquerque new mexicocloud engineer,albuquerque new mexico,cloud engineer,albuquerque new mexico,cloud engineer,,,albuquerque new mexico,cloud engineer,134908,,116838,,,,,,,125873
phoenix arizonasite reliability engineer,phoenix arizona,site reliability engineer,phoenix arizona,site reliability engineer,phoenix arizona,site reliability engineer,phoenix arizona,site reliability engineer,126686,87900,163016,,,1-May-23,,,With two date,125867.3333
waukesha wisconsinengineer manager,waukesha wisconsin,engineer manager,waukesha wisconsin,engineer manager,,,waukesha wisconsin,engineer manager,112638,,139065,,,5-Jan-22,,,,125851.5
memphis tennesseedirector of information technology,memphis tennessee,director of information technology,memphis tennessee,director of information technology,memphis tennessee,director of information technology,memphis tennessee,director of information technology,159903,120000,97645,,,,,,,125849.3333
wisconsinsenior software engineer,wisconsin,senior software engineer,wisconsin,senior software engineer,,,wisconsin,senior software engineer,135870,,115824,,,29-Apr-23,,,,125847
tempe arizonasenior software developer,tempe arizona,senior software developer,tempe arizona,senior software developer,,,tempe arizona,senior software developer,123176,,128498,,,,,,,125837
mountain view californiasenior web developer,mountain view california,senior web developer,mountain view california,senior web developer,,,mountain view california,senior web developer,105458,,146207,,,,,,,125832.5
provo utahsenior systems engineer,provo utah,senior systems engineer,provo utah,senior systems engineer,provo utah,senior systems engineer,,,158740,92903,,,,,,,,125821.5
detroit michigansoftware engineer,detroit michigan,software engineer,detroit michigan,software engineer,detroit michigan,software engineer,detroit michigan,software engineer,146111,132000,99344,,,13-Jun-23,,,,125818.3333
buffalo new yorkengineer manager,buffalo new york,engineer manager,buffalo new york,engineer manager,buffalo new york,engineer manager,buffalo new york,engineer manager,159946,101478,116022,,,,,,,125815.3333
jacksonville floridasenior data scientist,jacksonville florida,senior data scientist,jacksonville florida,senior data scientist,,,jacksonville florida,senior data scientist,129769,,121858,,,,,,,125813.5
fort collins coloradosoftware engineer,fort collins colorado,software engineer,fort collins colorado,software engineer,fort collins colorado,software engineer,fort collins colorado,software engineer,137916,135000,104508,,,,,,,125808
rhode islandinformation technology manager,rhode island,information technology manager,rhode island,information technology manager,,,rhode island,information technology manager,160752,,90857,,,,,,,125804.5
fayetteville north carolinachief operating officer,fayetteville north carolina,chief operating officer,fayetteville north carolina,chief operating officer,fayetteville north carolina,chief operating officer,fayetteville north carolina,chief operating officer,207502,123819,46090,,,,,,,125803.6667
irvine californiajunior engineer manager,irvine california,junior engineer manager,irvine california,junior engineer manager,,,irvine california,junior engineer manager,70140,,181460,15-Sep-22,,,,,,125800
jersey city new jerseysenior ios developer,jersey city new jersey,senior ios developer,jersey city new jersey,senior ios developer,,,jersey city new jersey,senior ios developer,123672,,127904,,,,,,,125788
oregonsoftware engineer,oregon,software engineer,oregon,software engineer,,,oregon,software engineer,138909,,112665,,,17-Jun-23,,,With two date,125787
milpitas californiasenior java developer,milpitas california,senior java developer,milpitas california,senior java developer,,,milpitas california,senior java developer,130329,,121227,,,,,,,125778
kansas city kansasprincipal software engineer,kansas city kansas,principal software engineer,kansas city kansas,principal software engineer,kansas city kansas,principal software engineer,kansas city kansas,principal software engineer,168068,110000,99260,,,,,,,125776
sunnyvale californiaapplication developer,sunnyvale california,application developer,sunnyvale california,application developer,sunnyvale california,application developer,,,117322,134225,,15-Sep-22,,,,,,125773.5
palo alto californiaprincipal fullstack developer,palo alto california,principal fullstack developer,palo alto california,principal fullstack developer,,,,,124274,127258,,,,,,,,125766
marylandsenior java developer,maryland,senior java developer,maryland,senior java developer,,,maryland,senior java developer,123903,,127575,,,18-Dec-22,,,,125739
irvine californiacloud engineer,irvine california,cloud engineer,irvine california,cloud engineer,,,irvine california,cloud engineer,116992,,134472,,,,,,,125732
little rock arkansassenior engineer,little rock arkansas,senior engineer,little rock arkansas,senior engineer,little rock arkansas,senior engineer,little rock arkansas,senior engineer,172349,85265,119570,,,,,,,125728
sunnyvale californiajava developer,sunnyvale california,java developer,sunnyvale california,java developer,sunnyvale california,java developer,sunnyvale california,java developer,111201,,140218,,,,,,,125709.5
denver coloradosenior systems engineer,denver colorado,senior systems engineer,denver colorado,senior systems engineer,denver colorado,senior systems engineer,denver colorado,senior systems engineer,138619,115709,122758,,,,,,,125695.3333
bronx new yorkdata scientist,bronx new york,data scientist,bronx new york,data scientist,,,bronx new york,data scientist,101046,,150251,15-Sep-22,,13-Jun-23,,,,125648.5
chicago illinoisit developer,chicago illinois,it developer,chicago illinois,it developer,chicago illinois,it developer,chicago illinois,it developer,114450,101500,160965,,,26-May-23,,,With two date,125638.3333
oklahomasenior engineer,oklahoma,senior engineer,oklahoma,senior engineer,,,oklahoma,senior engineer,124728,,126518,,,,,,,125623
norfolk virginiaengineer manager,norfolk virginia,engineer manager,norfolk virginia,engineer manager,norfolk virginia,engineer manager,norfolk virginia,engineer manager,153639,115000,108226,,,31-Jan-23,,,With two date,125621.6667
colorado springs coloradosoftware manager,colorado springs colorado,software manager,colorado springs colorado,software manager,,,colorado springs colorado,software manager,151243,,99907,,,28-Jan-23,,,,125575
coloradoprincipal technical lead,colorado,principal technical lead,colorado,principal technical lead,,,colorado,principal technical lead,137776,,113326,,,,,,,125551
uc berkeley.net developer,uc berkeley,.net developer,uc berkeley,.net developer,,,,,121127,90000,165504,,,,,,,125543.6667
san jose californiasoftware test engineer,san jose california,software test engineer,san jose california,software test engineer,,,san jose california,software test engineer,118288,,132796,,,16-May-23,,,,125542
idahosenior engineer,idaho,senior engineer,idaho,senior engineer,,,idaho,senior engineer,144460,,106620,,,,,,,125540
san diego californiadata engineer,san diego california,data engineer,san diego california,data engineer,san diego california,data engineer,san diego california,data engineer,121487,114289,140838,,,,,,,125538
alabamasenior engineering manager,alabama,senior engineering manager,alabama,senior engineering manager,,,alabama,senior engineering manager,117049,,133978,,,,,,,125513.5
buffalo new yorkdirector of information technology,buffalo new york,director of information technology,buffalo new york,director of information technology,,,buffalo new york,director of information technology,160468,,90557,,,17-Apr-23,,,,125512.5
kentuckysenior software engineer,kentucky,senior software engineer,kentucky,senior software engineer,,,kentucky,senior software engineer,142254,,108771,,,,,,,125512.5
louisville kentuckysenior engineering manager,louisville kentucky,senior engineering manager,louisville kentucky,senior engineering manager,louisville kentucky,senior engineering manager,louisville kentucky,senior engineering manager,137957,103308,135261,,,,,,,125508.6667
los angeles californiaapplication developer,los angeles california,application developer,los angeles california,application developer,los angeles california,application developer,los angeles california,application developer,115674,91322,169483,,,,,,,125493
washington district of columbiamachine learning engineer,washington district of columbia,machine learning engineer,washington district of columbia,machine learning engineer,washington district of columbia,machine learning engineer,washington district of columbia,machine learning engineer,82283,113870,180302,,,5-Jun-23,,,,125485
palo alto californiait support engineer,palo alto california,it support engineer,palo alto california,it support engineer,palo alto california,it support engineer,,,100943,150000,,,,,,,,125471.5
connecticutsenior java developer,connecticut,senior java developer,connecticut,senior java developer,,,connecticut,senior java developer,123118,,127810,,,,,,,125464
fresno californiadata scientist,fresno california,data scientist,fresno california,data scientist,,,fresno california,data scientist,65304,,185596,,,2-May-23,,,With two date,125450
hillsboro oregonsoftware architect,hillsboro oregon,software architect,hillsboro oregon,software architect,hillsboro oregon,software architect,,,130890,120000,,,,,,,,125445
kentuckyinformation technology manager,kentucky,information technology manager,kentucky,information technology manager,,,kentucky,information technology manager,163582,,87274,,,,,,,125428
milwaukee wisconsintechnical lead,milwaukee wisconsin,technical lead,milwaukee wisconsin,technical lead,milwaukee wisconsin,technical lead,milwaukee wisconsin,technical lead,156453,116895,102890,,,12-Jun-23,,,,125412.6667
atlanta georgiasenior web developer,atlanta georgia,senior web developer,atlanta georgia,senior web developer,atlanta georgia,senior web developer,atlanta georgia,senior web developer,139289,98285,138629,,,,,,,125401
richmond virginiasoftware engineer,richmond virginia,software engineer,richmond virginia,software engineer,richmond virginia,software engineer,richmond virginia,software engineer,137642,123350,115205,,,8-Jun-23,,,,125399
charlotte north carolinamachine learning engineer,charlotte north carolina,machine learning engineer,charlotte north carolina,machine learning engineer,,,charlotte north carolina,machine learning engineer,106459,,144315,,,16-Apr-23,,,With two date,125387
lincoln nebraskasenior engineering manager,lincoln nebraska,senior engineering manager,lincoln nebraska,senior engineering manager,,,lincoln nebraska,senior engineering manager,135648,,115091,,,,,,,125369.5
greensboro north carolinaengineer manager,greensboro north carolina,engineer manager,greensboro north carolina,engineer manager,greensboro north carolina,engineer manager,greensboro north carolina,engineer manager,150841,117500,107733,,,11-Apr-23,,,With two date,125358
beaverton oregonsoftware engineer,beaverton oregon,software engineer,beaverton oregon,software engineer,beaverton oregon,software engineer,beaverton oregon,software engineer,138059,131498,106478,,,13-Apr-23,,,With two date,125345
saint pauljunior software engineer,saint paul,junior software engineer,saint paul,junior software engineer,,,,,114150,110000,151875,,,,,,,125341.6667
virginiasenior system engineer,virginia,senior system engineer,virginia,senior system engineer,,,virginia,senior system engineer,124041,,126634,,,27-May-23,,,,125337.5
halifax nsdirector of engineering,halifax ns,director of engineering,halifax ns,director of engineering,,,halifax ns,director of engineering,119378,,131280,,,16-Jan-23,,,With two date,125329
hartford connecticutsoftware manager,hartford connecticut,software manager,hartford connecticut,software manager,,,hartford connecticut,software manager,144395,,106248,,,28-Feb-22,,,,125321.5
plano texassoftware manager,plano texas,software manager,plano texas,software manager,plano texas,software manager,plano texas,software manager,150387,119792,105748,,,,,,,125309
milpitas californiasenior software developer,milpitas california,senior software developer,milpitas california,senior software developer,,,milpitas california,senior software developer,132870,,117712,,,,,,,125291
louisville kentuckydata scientist,louisville kentucky,data scientist,louisville kentucky,data scientist,louisville kentucky,data scientist,louisville kentucky,data scientist,107794,85824,182152,,,29-Apr-23,,,With two date,125256.6667
fayetteville north carolinasoftware engineer,fayetteville north carolina,software engineer,fayetteville north carolina,software engineer,fayetteville north carolina,software engineer,fayetteville north carolina,software engineer,155089,,95420,,,,,,,125254.5
denver coloradosenior software manager,denver colorado,senior software manager,denver colorado,senior software manager,denver colorado,senior software manager,denver colorado,senior software manager,154268,118316,103137,,,,,,,125240.3333
denver coloradosenior security engineer,denver colorado,senior security engineer,denver colorado,senior security engineer,denver colorado,senior security engineer,denver colorado,senior security engineer,127049,120249,128374,,,28-Apr-23,,,,125224
salt lake city utahsenior site reliability engineer,salt lake city utah,senior site reliability engineer,salt lake city utah,senior site reliability engineer,salt lake city utah,senior site reliability engineer,,,122447,128000,,,,,,,,125223.5
santa clara californiasenior web developer,santa clara california,senior web developer,santa clara california,senior web developer,,,santa clara california,senior web developer,131423,,118967,,,,,,,125195
boulder coloradosenior data scientist,boulder colorado,senior data scientist,boulder colorado,senior data scientist,boulder colorado,senior data scientist,boulder colorado,senior data scientist,135541,120500,119542,,,,,,,125194.3333
columbus ohiotechnical lead,columbus ohio,technical lead,columbus ohio,technical lead,columbus ohio,technical lead,columbus ohio,technical lead,165720,102439,107419,,,,,,,125192.6667
fairfaxsenior software developer,fairfax,senior software developer,fairfax,senior software developer,,,,,131312,135000,109227,,,,,,,125179.6667
portland oregonprincipal cloud engineer,portland oregon,principal cloud engineer,portland oregon,principal cloud engineer,,,portland oregon,principal cloud engineer,149409,,100938,,,16-Jun-23,,,With two date,125173.5
pennsylvaniamachine learning engineer,pennsylvania,machine learning engineer,pennsylvania,machine learning engineer,,,pennsylvania,machine learning engineer,113917,,136423,,,,,,,125170
sunnyvale californiafullstack developer,sunnyvale california,fullstack developer,sunnyvale california,fullstack developer,,,sunnyvale california,fullstack developer,112899,,137416,,,,,,,125157.5
tampa floridasolutions architect,tampa florida,solutions architect,tampa florida,solutions architect,tampa florida,solutions architect,tampa florida,solutions architect,137329,126942,111153,,,13-Jun-23,,,,125141.3333
nashville tennesseetechnical lead,nashville tennessee,technical lead,nashville tennessee,technical lead,nashville tennessee,technical lead,nashville tennessee,technical lead,162756,110610,102044,,,10-May-23,,,,125136.6667
las vegas nevadasolutions architect,las vegas nevada,solutions architect,las vegas nevada,solutions architect,las vegas nevada,solutions architect,las vegas nevada,solutions architect,133482,124585,117267,,,24-Apr-23,,,,125111.3333
wichita kansassoftware engineer,wichita kansas,software engineer,wichita kansas,software engineer,wichita kansas,software engineer,wichita kansas,software engineer,136025,140000,99287,,,17-Apr-23,,,,125104
mountain view californiasite reliability engineer,mountain view california,site reliability engineer,mountain view california,site reliability engineer,mountain view california,site reliability engineer,mountain view california,site reliability engineer,107278,113000,155015,,,,,,,125097.6667
austin texasfullstack developer,austin texas,fullstack developer,austin texas,fullstack developer,,,austin texas,fullstack developer,120714,,129467,,,13-Jun-23,,,,125090.5
colorado springs coloradosoftware engineer,colorado springs colorado,software engineer,colorado springs colorado,software engineer,colorado springs colorado,software engineer,colorado springs colorado,software engineer,145572,106878,122811,,,,,,,125087
san diego californiajunior director of engineering,san diego california,junior director of engineering,san diego california,junior director of engineering,,,san diego california,junior director of engineering,147018,,103110,,,26-May-23,,,With two date,125064
west palm beach floridasenior engineering manager,west palm beach florida,senior engineering manager,west palm beach florida,senior engineering manager,,,west palm beach florida,senior engineering manager,130485,,119636,,,,,,,125060.5
pennsylvaniaprincipal software architect,pennsylvania,principal software architect,pennsylvania,principal software architect,,,pennsylvania,principal software architect,139144,102000,133996,,,25-Apr-23,,,With two date,125046.6667
knoxville tennesseejunior chief operating officer,knoxville tennessee,junior chief operating officer,knoxville tennessee,junior chief operating officer,,,,,125073,125000,,,,,,,,125036.5
provo utahcyber security engineer,provo utah,cyber security engineer,provo utah,cyber security engineer,provo utah,cyber security engineer,,,152541,97500,,,,,,,,125020.5
los angeles californiasenior java developer,los angeles california,senior java developer,los angeles california,senior java developer,los angeles california,senior java developer,los angeles california,senior java developer,126190,105813,143019,,,27-Sep-22,,,,125007.3333
memphis tennesseetechnical lead,memphis tennessee,technical lead,memphis tennessee,technical lead,memphis tennessee,technical lead,memphis tennessee,technical lead,119444,119792,135750,,,,,,,124995.3333
californiasenior java developer,california,senior java developer,california,senior java developer,,,california,senior java developer,132116,,117849,15-Sep-22,,17-Jun-23,,,,124982.5
fort lauderdale floridasoftware engineer,fort lauderdale florida,software engineer,fort lauderdale florida,software engineer,fort lauderdale florida,software engineer,fort lauderdale florida,software engineer,124445,132000,118496,,,11-May-23,,,,124980.3333
new york new yorkios developer,new york new york,ios developer,new york new york,ios developer,new york new york,ios developer,new york new york,ios developer,126948,113019,134947,,,13-Jun-23,,,,124971.3333
new jerseybusiness intelligence developer,new jersey,business intelligence developer,new jersey,business intelligence developer,,,new jersey,business intelligence developer,153456,,96483,,,13-Jun-23,,,,124969.5
redmond washingtonsenior systems engineer,redmond washington,senior systems engineer,redmond washington,senior systems engineer,redmond washington,senior systems engineer,redmond washington,senior systems engineer,110427,117447,147000,,,3-Mar-21,,,,124958
provo utahsoftware quality assurance engineer,provo utah,software quality assurance engineer,provo utah,software quality assurance engineer,provo utah,software quality assurance engineer,,,178688,71211,,,,,,,,124949.5
sacramento californiaprincipal technical lead,sacramento california,principal technical lead,sacramento california,principal technical lead,,,sacramento california,principal technical lead,145562,,104324,,,,,,,124943
massachusettssoftware engineering manager,massachusetts,software engineering manager,massachusetts,software engineering manager,,,massachusetts,software engineering manager,101958,,147879,,,,,,,124918.5
wyomingdata engineer,wyoming,data engineer,wyoming,data engineer,,,wyoming,data engineer,81853,,167977,,,5-Dec-22,,,,124915
puerto ricosenior data scientist,puerto rico,senior data scientist,puerto rico,senior data scientist,,,puerto rico,senior data scientist,134347,,115468,,,,,,,124907.5
jersey city new jerseysoftware engineer,jersey city new jersey,software engineer,jersey city new jersey,software engineer,jersey city new jersey,software engineer,jersey city new jersey,software engineer,142002,119245,113473,,,26-Feb-23,,,,124906.6667
san francisco californiasenior .net developer,san francisco california,senior .net developer,san francisco california,senior .net developer,san francisco california,senior .net developer,san francisco california,senior .net developer,132560,104762,137395,,,4-Jun-23,,,,124905.6667
san francisco californiasoftware quality assurance engineer,san francisco california,software quality assurance engineer,san francisco california,software quality assurance engineer,san francisco california,software quality assurance engineer,san francisco california,software quality assurance engineer,150026,97361,127312,,,23-Apr-23,,,,124899.6667
michigansenior .net developer,michigan,senior .net developer,michigan,senior .net developer,,,michigan,senior .net developer,110926,,138838,,,9-Jun-23,,,,124882
bellevue washingtonsite reliability engineer,bellevue washington,site reliability engineer,bellevue washington,site reliability engineer,,,bellevue washington,site reliability engineer,111693,,138062,,,,,,,124877.5
marylandsenior information technology manager,maryland,senior information technology manager,maryland,senior information technology manager,,,maryland,senior information technology manager,169108,,80631,,,,,,,124869.5
orlando floridasite reliability engineer,orlando florida,site reliability engineer,orlando florida,site reliability engineer,orlando florida,site reliability engineer,orlando florida,site reliability engineer,124750,75600,174237,,,,,,,124862.3333
san francisco californiaapplication developer,san francisco california,application developer,san francisco california,application developer,san francisco california,application developer,san francisco california,application developer,114191,112500,147863,15-Sep-22,,,With two date,,,124851.3333
milpitas californiafrontend developer,milpitas california,frontend developer,milpitas california,frontend developer,,,milpitas california,frontend developer,96632,,153070,,,,,,,124851
winnipeg mbprincipal senior engineer,winnipeg mb,principal senior engineer,winnipeg mb,principal senior engineer,,,winnipeg mb,principal senior engineer,120158,,129529,,,,,,,124843.5
new jerseysenior data scientist,new jersey,senior data scientist,new jersey,senior data scientist,,,new jersey,senior data scientist,122308,,127360,,,,,,,124834
coloradoios developer,colorado,ios developer,colorado,ios developer,,,colorado,ios developer,101806,,147819,,,12-Jun-23,,,,124812.5
colorado springs coloradosolutions architect,colorado springs colorado,solutions architect,colorado springs colorado,solutions architect,colorado springs colorado,solutions architect,colorado springs colorado,solutions architect,128081,117740,128561,,,,,,,124794
san mateo californiajunior software engineer,san mateo california,junior software engineer,san mateo california,junior software engineer,,,san mateo california,junior software engineer,154677,,94903,,,,,,,124790
louisianaprincipal software architect,louisiana,principal software architect,louisiana,principal software architect,,,,,115516,134000,,,,,,,,124758
baltimore marylandtechnical lead,baltimore maryland,technical lead,baltimore maryland,technical lead,baltimore maryland,technical lead,baltimore maryland,technical lead,160982,105000,108277,,,,,,,124753
oklahoma city oklahomasenior java developer,oklahoma city oklahoma,senior java developer,oklahoma city oklahoma,senior java developer,,,oklahoma city oklahoma,senior java developer,121731,,127648,,,,,,,124689.5
manhattanengineer manager,manhattan,engineer manager,manhattan,engineer manager,,,,,119972,90410,163681,,,,,,,124687.6667
delawareengineer manager,delaware,engineer manager,delaware,engineer manager,,,delaware,engineer manager,133406,,115967,,,20-Apr-23,,,,124686.5
sunnyvale californiasoftware engineer intern,sunnyvale california,software engineer intern,sunnyvale california,software engineer intern,,,sunnyvale california,software engineer intern,93716,,155653,,,,,,,124684.5
louisville kentuckysoftware engineering manager,louisville kentucky,software engineering manager,louisville kentucky,software engineering manager,louisville kentucky,software engineering manager,louisville kentucky,software engineering manager,162485,111500,100056,,,,,,,124680.3333
norfolk virginiasenior software engineer,norfolk virginia,senior software engineer,norfolk virginia,senior software engineer,norfolk virginia,senior software engineer,norfolk virginia,senior software engineer,151059,106000,116975,,,19-Feb-23,,,,124678
philadelphia pennsylvaniasite reliability engineer,philadelphia pennsylvania,site reliability engineer,philadelphia pennsylvania,site reliability engineer,philadelphia pennsylvania,site reliability engineer,philadelphia pennsylvania,site reliability engineer,137160,100743,136071,,,,,,,124658
