locationjob,location,job,gd_location,gd_job,ps_location,ps_job,indeed_location,indeed_location.1,gd_salary,ps_salary,indeed_salary,gd_date,ps_date,indeed_date,gd_two_date,ps_two_date,indeed_two_date,avg_salary
salt lake city utahchief technology officer,salt lake city utah,chief technology officer,salt lake city utah,chief technology officer,salt lake city utah,chief technology officer,salt lake city utah,chief technology officer,204166,197500,336328,,,,,,,245998
san francisco californiachief operating officer,san francisco california,chief operating officer,san francisco california,chief operating officer,san francisco california,chief operating officer,san francisco california,chief operating officer,219572,298320,219938,,,1-Nov-22,,,,245943.3333
columbus ohiochief technology officer,columbus ohio,chief technology officer,columbus ohio,chief technology officer,columbus ohio,chief technology officer,columbus ohio,chief technology officer,324413,187500,224677,,,,,,,245530
vancouver bcvice president of engineering,vancouver bc,vice president of engineering,vancouver bc,vice president of engineering,,,vancouver bc,vice president of engineering,218408,,272349,10-May-23,,13-Feb-23,,,With two date,245378.5
texaschief technology officer,texas,chief technology officer,texas,chief technology officer,,,texas,chief technology officer,276723,,213980,,,,,,,245351.5
minnesotachief technology officer,minnesota,chief technology officer,minnesota,chief technology officer,,,minnesota,chief technology officer,274901,,214826,,,3-Jun-21,,,,244863.5
omaha nebraskachief technology officer,omaha nebraska,chief technology officer,omaha nebraska,chief technology officer,omaha nebraska,chief technology officer,omaha nebraska,chief technology officer,406505,147394,180670,,,23-May-23,,,,244856.3333
hartford connecticutvice president of engineering,hartford connecticut,vice president of engineering,hartford connecticut,vice president of engineering,hartford connecticut,vice president of engineering,hartford connecticut,vice president of engineering,226518,237500,268667,,,,,,,244228.3333
cincinnati ohiovice president of engineering,cincinnati ohio,vice president of engineering,cincinnati ohio,vice president of engineering,cincinnati ohio,vice president of engineering,cincinnati ohio,vice president of engineering,330702,205000,195789,,,2-Sep-22,,,With two date,243830.3333
san diego californiachief technology officer,san diego california,chief technology officer,san diego california,chief technology officer,san diego california,chief technology officer,san diego california,chief technology officer,284717,209882,236510,,,12-Jun-23,,,,243703
los angeles californiachief technology officer,los angeles california,chief technology officer,los angeles california,chief technology officer,los angeles california,chief technology officer,los angeles california,chief technology officer,310286,227500,192600,,,3-Jun-23,,,,243462
washington district of columbiachief technology officer,washington district of columbia,chief technology officer,washington district of columbia,chief technology officer,washington district of columbia,chief technology officer,washington district of columbia,chief technology officer,334632,183087,210004,,,4-May-23,,,,242574.3333
albertavice president of engineering,alberta,vice president of engineering,alberta,vice president of engineering,,,alberta,vice president of engineering,170305,,314205,,,,,,,242255
boston massachusettsvice president of engineering,boston massachusetts,vice president of engineering,boston massachusetts,vice president of engineering,boston massachusetts,vice president of engineering,boston massachusetts,vice president of engineering,220895,225000,280769,,,13-May-23,,,,242221.3333
birmingham alabamavice president of engineering,birmingham alabama,vice president of engineering,birmingham alabama,vice president of engineering,birmingham alabama,vice president of engineering,birmingham alabama,vice president of engineering,208554,400000,117387,,,8-Nov-22,,,With two date,241980.3333
arizonachief technology officer,arizona,chief technology officer,arizona,chief technology officer,,,arizona,chief technology officer,177872,,306043,,,24-Apr-23,,,,241957.5
new jerseychief technology officer,new jersey,chief technology officer,new jersey,chief technology officer,,,new jersey,chief technology officer,277899,,205349,,,20-Apr-23,,,With two date,241624
palo alto californiavice president of engineering,palo alto california,vice president of engineering,palo alto california,vice president of engineering,palo alto california,vice president of engineering,palo alto california,vice president of engineering,245696,245659,233382,,,,,,,241579
