locationjob,date,location,job,salary,two_date
columbus ohiotruck dr4er,13-Jun-23,columbus ohio,truck dr4er,"89,624",With two date
camden new jerseysoftware manager,,camden new jersey,software manager,"89,624",
gardena californiadevelopment operations engineer,,gardena california,development operations engineer,"89,618",
puerto ricodata analyst,5-Apr-22,puerto rico,data analyst,"89,618",
philadelphia pennsylvaniamaster scheduler,5-May-23,philadelphia pennsylvania,master scheduler,"89,617",With two date
kentuckyfrontend software engineer,,kentucky,frontend software engineer,"89,615",
north york ontario.net developer,6-Apr-23,north york ontario,.net developer,"89,606",
oklahomadata engineer,,oklahoma,data engineer,"89,605",
south carolinaschool psychologist,17-Mar-23,south carolina,school psychologist,"89,604",
des moines iowaweb developer,,des moines iowa,web developer,"89,597",
chicago illinoismechanical engineer,16-Jun-23,chicago illinois,mechanical engineer,"89,592",
philadelphia pennsylvaniaassistant superintendent,,philadelphia pennsylvania,assistant superintendent,"89,589",
grand rapids michiganconstruction estimator,15-May-23,grand rapids michigan,construction estimator,"89,587",
sun city arizona.net developer,,sun city arizona,.net developer,"89,578",
north carolinasenior security engineer,11-May-23,north carolina,senior security engineer,"89,572",
tampa floridatruck dr4er,13-Jun-23,tampa florida,truck dr4er,"89,568",
oregonelectrical designer,4-Jun-23,oregon,electrical designer,"89,554",With two date
kansas city missourimechanical engineer,9-Jun-23,kansas city missouri,mechanical engineer,"89,550",With two date
delawareit developer,12-Jun-23,delaware,it developer,"89,548",
albertacyber security engineer,,alberta,cyber security engineer,"89,546",
connecticutstatistician,31-Aug-22,connecticut,statistician,"89,543",With two date
chicago heights illinoisprincipal technical lead,,chicago heights illinois,principal technical lead,"89,540",
madison wisconsinapplication developer,13-Apr-23,madison wisconsin,application developer,"89,537",
charlotte north carolinaclinical nurse educator,20-Jul-22,charlotte north carolina,clinical nurse educator,"89,537",
idahoutilization review nurse,18-May-23,idaho,utilization review nurse,"89,535",
cincinnati ohiosoftware manager,8-May-23,cincinnati ohio,software manager,"89,534",
fort collins coloradoprincipal cloud engineer,25-May-23,fort collins colorado,principal cloud engineer,"89,534",
detroit michigansenior systems engineer,14-Apr-23,detroit michigan,senior systems engineer,"89,534",
rocklin californiaengineer manager,,rocklin california,engineer manager,"89,532",
gallup new mexicosoftware engineer,,gallup new mexico,software engineer,"89,532",
new hampshirefrontend software engineer,5-Apr-23,new hampshire,frontend software engineer,"89,529",
idahodevelopment operations engineer,26-Apr-21,idaho,development operations engineer,"89,529",
cranberry township pennsylvaniasenior software developer,,cranberry township pennsylvania,senior software developer,"89,528",
mount laurel new jerseyengineer manager,,mount laurel new jersey,engineer manager,"89,524",
mesa arizonadirector of engineering,24-Apr-23,mesa arizona,director of engineering,"89,522",
orlando floridacommercial real estate agent,5-Jun-23,orlando florida,commercial real estate agent,"89,517",
queenslandweb developer,17-Feb-23,queensland,web developer,"89,514",
quebec provincesenior application developer,,quebec province,senior application developer,"89,512",
oregonsoftware test engineer,27-May-23,oregon,software test engineer,"89,511",
chicago illinoisreal estate agent,14-Jun-23,chicago illinois,real estate agent,"89,507",With two date
beaumont texassenior software developer,,beaumont texas,senior software developer,"89,501",
chattanooga tennesseechief operating officer,,chattanooga tennessee,chief operating officer,"89,497",
charlottetown peinformation technology manager,,charlottetown pe,information technology manager,"89,496",
stsas programmer,,st,sas programmer,"89,495",
pittsburgh pennsylvaniatruck dr4er,27-May-23,pittsburgh pennsylvania,truck dr4er,"89,493",
frisco texasprincipal cloud engineer,,frisco texas,principal cloud engineer,"89,492",
tallahassee floridaprincipal cloud engineer,,tallahassee florida,principal cloud engineer,"89,492",
baton rouge louisiana.net developer,,baton rouge louisiana,.net developer,"89,492",
michiganprincipal data scientist,13-Jun-23,michigan,principal data scientist,"89,491",
golden valley minnesotasystems administrator,,golden valley minnesota,systems administrator,"89,486",
bellevue nebraskasoftware engineer,,bellevue nebraska,software engineer,"89,485",
floridasenior data analyst,5-Jun-23,florida,senior data analyst,"89,483",With two date
eugene oregonsoftware engineer,7-Apr-23,eugene oregon,software engineer,"89,482",With two date
boise idahosales consultant,28-Feb-23,boise idaho,sales consultant,"89,482",With two date
british columbiahuman resources specialist,13-May-23,british columbia,human resources specialist,"89,477",
ohiosenior application developer,6-May-23,ohio,senior application developer,"89,472",With two date
pueblo coloradodata engineer,20-May-23,pueblo colorado,data engineer,"89,472",With two date
tacoma washingtonsystems administrator,,tacoma washington,systems administrator,"89,465",
naples floridasenior engineering manager,5-May-23,naples florida,senior engineering manager,"89,464",
phoenix arizonajava developer,14-Jun-23,phoenix arizona,java developer,"89,460",
camas washingtonsenior software developer,,camas washington,senior software developer,"89,459",
tallahassee floridageneral contractor,21-Apr-23,tallahassee florida,general contractor,"89,458",With two date
roanoke virginiasenior web developer,,roanoke virginia,senior web developer,"89,457",
jacksonville floridasubcontractor,21-Apr-23,jacksonville florida,subcontractor,"89,452",
paducah kentuckysoftware engineer,1-Sep-18,paducah kentucky,software engineer,"89,450",With two date
cedar rapids iowadirector of engineering,19-May-23,cedar rapids iowa,director of engineering,"89,450",
el paso texasdevelopment operations engineer,,el paso texas,development operations engineer,"89,450",
easthampton massachusettssenior engineer,,easthampton massachusetts,senior engineer,"89,450",
ithaca new yorkengineer manager,23-Apr-23,ithaca new york,engineer manager,"89,450",
utahweb developer,2-Jun-23,utah,web developer,"89,450",
fort belvoir virginiainformation technology manager,,fort belvoir virginia,information technology manager,"89,450",
portage indianaengineer manager,,portage indiana,engineer manager,"89,450",
lancaster pennsylvaniaweb developer,,lancaster pennsylvania,web developer,"89,450",
puyallup washingtondata analyst,,puyallup washington,data analyst,"89,450",
langley bcsenior engineer,,langley bc,senior engineer,"89,450",
apex north carolinasoftware engineer,,apex north carolina,software engineer,"89,450",
sioux falls south dakotapsychologist,,sioux falls south dakota,psychologist,"89,450",
santa teresa new mexicodirector of information technology,,santa teresa new mexico,director of information technology,"89,450",
mississippisenior software developer,,mississippi,senior software developer,"89,448",
nova scotiarealtor,4-May-23,nova scotia,realtor,"89,443",
philadelphia pennsylvaniamortgage broker,28-Dec-22,philadelphia pennsylvania,mortgage broker,"89,443",
newfoundland and labradorrealtor,16-May-23,newfoundland and labrador,realtor,"89,443",With two date
kentuckyprosthetist,25-Oct-22,kentucky,prosthetist,"89,443",With two date
palo alto californiacomputer programmer,,palo alto california,computer programmer,"89,436",
montanaprincipal technical lead,,montana,principal technical lead,"89,434",
connecticutunderwriter,15-Apr-23,connecticut,underwriter,"89,430",
asheville north carolinasystems administrator,8-May-23,asheville north carolina,systems administrator,"89,425",
portland oregonunderwriter,26-May-23,portland oregon,underwriter,"89,423",
utahjunior software engineer,29-Apr-23,utah,junior software engineer,"89,415",
dallas texasaudiologist,12-Jun-23,dallas texas,audiologist,"89,414",With two date
fort myers floridasoftware engineer,8-Jun-23,fort myers florida,software engineer,"89,413",
cleveland ohioclinical psychologist,26-Mar-23,cleveland ohio,clinical psychologist,"89,413",
new york new yorkengineering consultant,18-Feb-23,new york new york,engineering consultant,"89,409",
nevadageologist,15-May-23,nevada,geologist,"89,405",
torquay vicsystems administrator,,torquay vic,systems administrator,"89,405",
iuka mississippiprincipal software engineer,,iuka mississippi,principal software engineer,"89,405",
westerville ohiosenior software developer,,westerville ohio,senior software developer,"89,399",
south carolinainformation technology manager,16-May-23,south carolina,information technology manager,"89,398",With two date
south houston texas.net developer,,south houston texas,.net developer,"89,398",
cedar park texassenior system engineer,15-Apr-23,cedar park texas,senior system engineer,"89,387",
new york new yorkbroker,12-Jun-23,new york new york,broker,"89,386",
covington washingtonsenior engineer,,covington washington,senior engineer,"89,382",
north carolinafrontend software engineer,18-Jun-23,north carolina,frontend software engineer,"89,379",With two date
louisianasuperintendent,24-May-23,louisiana,superintendent,"89,375",
phoenix arizonainformation technology manager,22-Apr-23,phoenix arizona,information technology manager,"89,374",
columbus ohioprincipal cloud engineer,7-Jun-23,columbus ohio,principal cloud engineer,"89,374",With two date
houston texasuser interface designer,,houston texas,user interface designer,"89,374",
hartford connecticutsoftware quality assurance engineer,17-Apr-23,hartford connecticut,software quality assurance engineer,"89,374",
texasinsurance broker,12-Jun-23,texas,insurance broker,"89,369",
austin texassenior member of technical,19-Oct-22,austin texas,senior member of technical,"89,368",
dallas texastanker dr4er,3-Jun-23,dallas texas,tanker dr4er,"89,366",With two date
des moines iowainternal auditor,6-Mar-23,des moines iowa,internal auditor,"89,366",
californiafreight broker,15-Jun-23,california,freight broker,"89,366",With two date
san antonio texasreal estate agent,15-Jun-23,san antonio texas,real estate agent,"89,364",With two date
australiaresearch consultant,8-Jun-23,australia,research consultant,"89,362",With two date
mountain view californiacomputer programmer,22-May-19,mountain view california,computer programmer,"89,355",
gilbert arizonasenior engineering manager,,gilbert arizona,senior engineering manager,"89,350",
oklahoma city oklahomamobile developer,,oklahoma city oklahoma,mobile developer,"89,342",
whippany new jerseyjava developer,25-May-23,whippany new jersey,java developer,"89,336",With two date
cedar park texasfrontend software engineer,,cedar park texas,frontend software engineer,"89,335",
denver coloradointernal auditor,15-Apr-23,denver colorado,internal auditor,"89,334",With two date
missourifrontend developer,5-May-23,missouri,frontend developer,"89,329",
floridafrontend developer,,florida,frontend developer,"89,328",
washington north carolinaengineer manager,,washington north carolina,engineer manager,"89,323",
missouriprincipal cloud engineer,6-Jun-23,missouri,principal cloud engineer,"89,321",
new york new yorksenior systems engineer,3-Apr-23,new york new york,senior systems engineer,"89,316",
ottawa ontarioproduct owner,,ottawa ontario,product owner,"89,313",
chicago illinoisindustrial hygienist,10-Oct-22,chicago illinois,industrial hygienist,"89,311",
vancouver bcfullstack developer,6-Jun-23,vancouver bc,fullstack developer,"89,311",
apex north carolinasenior software developer,,apex north carolina,senior software developer,"89,311",
bellevue washingtoninsurance broker,,bellevue washington,insurance broker,"89,310",
chattanooga tennesseedata scientist,16-Feb-23,chattanooga tennessee,data scientist,"89,305",
wyomingspecial education teacher,25-Feb-23,wyoming,special education teacher,"89,299",With two date
phoenix arizonaassistant controller,,phoenix arizona,assistant controller,"89,298",
little rock arkansasreal estate agent,8-Jun-23,little rock arkansas,real estate agent,"89,298",With two date
san francisco californiacommunication specialist,23-May-23,san francisco california,communication specialist,"89,296",
stsupply chain specialist,4-Nov-22,st,supply chain specialist,"89,295",
phoenix arizonaclinical psychologist,,phoenix arizona,clinical psychologist,"89,293",
columbus ohioassistant controller,26-May-23,columbus ohio,assistant controller,"89,288",
australiaprogrammer,16-Jun-23,australia,programmer,"89,283",
californiadesign consultant,27-May-23,california,design consultant,"89,283",
san diego californiamechanical designer,9-Jun-23,san diego california,mechanical designer,"89,282",
frisco texasinformation technology manager,,frisco texas,information technology manager,"89,281",
jersey city new jerseymechanical engineer,,jersey city new jersey,mechanical engineer,"89,277",
philadelphia pennsylvaniaindustrial designer,5-Jun-23,philadelphia pennsylvania,industrial designer,"89,271",
frederick marylandsenior data scientist,19-Apr-23,frederick maryland,senior data scientist,"89,268",
vancouver bcsenior member of technical,7-Jan-23,vancouver bc,senior member of technical,"89,266",
baltimore marylandeditor,5-Aug-22,baltimore maryland,editor,"89,265",With two date
fort collins coloradorealtor,5-May-23,fort collins colorado,realtor,"89,260",
alabamafullstack developer,,alabama,fullstack developer,"89,252",
plano texasapplication developer,,plano texas,application developer,"89,250",With two date
chicago illinoissales execut4e,8-Mar-23,chicago illinois,sales execut4e,"89,249",With two date
jackson michiganapplication developer,,jackson michigan,application developer,"89,246",
albany new yorkmechanical engineer,17-May-23,albany new york,mechanical engineer,"89,242",
albertarecruiting specialist,10-May-23,alberta,recruiting specialist,"89,238",
oklahomasenior software developer,,oklahoma,senior software developer,"89,237",
atlanta georgiatruck dr4er,9-Jun-23,atlanta georgia,truck dr4er,"89,231",
cambridge massachusettsmaster scheduler,,cambridge massachusetts,master scheduler,"89,230",
north vancouver bcsenior java developer,,north vancouver bc,senior java developer,"89,228",
jacksonville floridaapplication developer,,jacksonville florida,application developer,"89,228",
plainview new yorksystems administrator,,plainview new york,systems administrator,"89,227",
albuquerque new mexicofrontend software engineer,,albuquerque new mexico,frontend software engineer,"89,226",
wolfeboro new hampshiredata engineer,29-Apr-23,wolfeboro new hampshire,data engineer,"89,224",
birmingham alabamasoftware test engineer,,birmingham alabama,software test engineer,"89,224",
las vegas nevadainternal auditor,,las vegas nevada,internal auditor,"89,222",
charleston south carolinacontroller,2-Jun-23,charleston south carolina,controller,"89,221",
minneapolis minnesotafrontend software engineer,25-Apr-23,minneapolis minnesota,frontend software engineer,"89,218",
herndon virginiajunior java developer,18-May-22,herndon virginia,junior java developer,"89,218",
louisville kentuckyreal estate agent,7-Jun-23,louisville kentucky,real estate agent,"89,217",With two date
mccarran nevadaengineer manager,8-May-23,mccarran nevada,engineer manager,"89,217",
edmonton abfinancial controller,5-Jun-23,edmonton ab,financial controller,"89,213",
portland oregonsoftware test engineer,,portland oregon,software test engineer,"89,212",
hillsboro oregonapplication developer,,hillsboro oregon,application developer,"89,212",
saskatchewansoftware engineering manager,,saskatchewan,software engineering manager,"89,212",
fort wayne indianaprincipal technical lead,,fort wayne indiana,principal technical lead,"89,211",
manitobasoftware quality assurance engineer,17-Feb-23,manitoba,software quality assurance engineer,"89,210",
frisco texasfrontend developer,,frisco texas,frontend developer,"89,207",
owatonna minnesotabusiness intelligence developer,,owatonna minnesota,business intelligence developer,"89,206",
south florida floridaengineer manager,,south florida florida,engineer manager,"89,204",
kansas city kansastruck dr4er,16-May-23,kansas city kansas,truck dr4er,"89,202",With two date
louisville kentuckysoftware quality assurance engineer,27-Apr-23,louisville kentucky,software quality assurance engineer,"89,201",
baltimore marylandrevenue cycle specialist,10-Apr-23,baltimore maryland,revenue cycle specialist,"89,199",With two date
san diego californiamaster scheduler,22-May-23,san diego california,master scheduler,"89,194",
pennsylvaniajava developer,,pennsylvania,java developer,"89,194",
kansas city missourireal estate agent,13-Jun-23,kansas city missouri,real estate agent,"89,194",With two date
peoria illinoisfrontend developer,22-Apr-23,peoria illinois,frontend developer,"89,191",
north dakotajava developer,,north dakota,java developer,"89,187",
grand rapids michigancontroller,10-Jun-23,grand rapids michigan,controller,"89,186",
charleston south carolinafrontend developer,,charleston south carolina,frontend developer,"89,186",
boston massachusettsexecut4e chef,9-Jun-23,boston massachusetts,execut4e chef,"89,182",
vancouver bcproduct owner,22-May-23,vancouver bc,product owner,"89,181",
aurora ontariosenior engineer,,aurora ontario,senior engineer,"89,178",
fort lauderdale floridamental health technician,,fort lauderdale florida,mental health technician,"89,177",
north carolinamechanical engineer,13-Jun-23,north carolina,mechanical engineer,"89,175",
plano texasprincipal cloud engineer,8-Jun-23,plano texas,principal cloud engineer,"89,171",With two date
west virginiareal estate agent,26-Apr-23,west virginia,real estate agent,"89,170",
hill afb utahprincipal cloud engineer,21-Jan-23,hill afb utah,principal cloud engineer,"89,169",
mississauga ontariosenior application developer,,mississauga ontario,senior application developer,"89,159",
virginiareal estate agent,15-Jun-23,virginia,real estate agent,"89,158",With two date
michigancertified public accountant,14-Jun-23,michigan,certified public accountant,"89,157",
georgiajunior software engineer,27-May-23,georgia,junior software engineer,"89,155",
oklahomasoftware test engineer,3-May-23,oklahoma,software test engineer,"89,147",
antioch tennesseesenior engineer,,antioch tennessee,senior engineer,"89,144",
raleigh north carolinajava developer,5-Jun-23,raleigh north carolina,java developer,"89,141",
mainechief operating officer,28-Mar-23,maine,chief operating officer,"89,140",
omaha nebraskainsurance producer,5-Jul-22,omaha nebraska,insurance producer,"89,136",With two date
portland mainetechnical lead,25-Dec-21,portland maine,technical lead,"89,132",
denver coloradojunior engineer manager,25-Apr-23,denver colorado,junior engineer manager,"89,131",
texasland surveyor,8-Jun-23,texas,land surveyor,"89,131",
oklahoma city oklahomatruck dr4er,27-May-23,oklahoma city oklahoma,truck dr4er,"89,125",
burnaby bcsenior application developer,,burnaby bc,senior application developer,"89,123",
mississauga ontariobusiness intelligence developer,,mississauga ontario,business intelligence developer,"89,118",
golden coloradoinformation technology manager,,golden colorado,information technology manager,"89,115",
albany new yorksenior data analyst,22-Apr-23,albany new york,senior data analyst,"89,115",With two date
dubuque iowadirector of engineering,22-Apr-23,dubuque iowa,director of engineering,"89,112",
richmond virginiaprincipal data scientist,31-Mar-23,richmond virginia,principal data scientist,"89,111",
fort worth texassenior web developer,,fort worth texas,senior web developer,"89,111",
ontario californiasystems administrator,,ontario california,systems administrator,"89,111",
bellingham washingtonchief technology officer,13-Jun-23,bellingham washington,chief technology officer,"89,110",
kansas city missourisoftware engineer,14-Jun-23,kansas city missouri,software engineer,"89,110",With two date
birmingham alabamatruck dr4er,27-May-23,birmingham alabama,truck dr4er,"89,108",
virginiamanagement consultant,27-May-23,virginia,management consultant,"89,104",With two date
morristown new jerseydata analyst,22-May-19,morristown new jersey,data analyst,"89,093",
albertaprocurement specialist,13-Jun-23,alberta,procurement specialist,"89,090",With two date
charleston south carolinasoftware test engineer,,charleston south carolina,software test engineer,"89,090",
stconstruction estimator,,st,construction estimator,"89,087",
provo utahsenior software developer,,provo utah,senior software developer,"89,081",
orlando floridauser experience designer,,orlando florida,user experience designer,"89,080",
louisville kentuckysenior systems engineer,,louisville kentucky,senior systems engineer,"89,079",
lawrenceville georgiasenior software developer,,lawrenceville georgia,senior software developer,"89,078",
duluth georgiaengineer manager,27-Feb-23,duluth georgia,engineer manager,"89,078",
north dakotabusiness intelligence developer,,north dakota,business intelligence developer,"89,073",
albertamortgage agent,26-Apr-23,alberta,mortgage agent,"89,066",
new jerseyinsurance consultant,19-Feb-23,new jersey,insurance consultant,"89,065",With two date
marietta georgiasenior engineering manager,,marietta georgia,senior engineering manager,"89,064",
midvale utahsenior software developer,,midvale utah,senior software developer,"89,063",
alabamacontroller,27-May-23,alabama,controller,"89,060",
fresno californiadevelopment operations engineer,,fresno california,development operations engineer,"89,057",
lexington kentuckysuperintendent,,lexington kentucky,superintendent,"89,056",
rhode islandgeneral contractor,19-May-23,rhode island,general contractor,"89,050",
wichita kansasprincipal technical lead,,wichita kansas,principal technical lead,"89,049",
melbourne vicprogrammer,,melbourne vic,programmer,"89,046",
new yorkjudge,10-Jun-23,new york,judge,"89,045",
boston massachusettssoftware engineer in test,18-May-23,boston massachusetts,software engineer in test,"89,042",
buffalo new yorksenior software developer,,buffalo new york,senior software developer,"89,039",
asheville north carolinasenior engineer,,asheville north carolina,senior engineer,"89,036",
oakland new jerseysoftware engineer,,oakland new jersey,software engineer,"89,033",
olympia washingtonapplication developer,,olympia washington,application developer,"89,030",
washington district of columbialogistics management specialist,7-Jun-23,washington district of columbia,logistics management specialist,"89,030",
kentuckyit developer,,kentucky,it developer,"89,024",
atlanta georgiac4il designer,2-Jun-23,atlanta georgia,c4il designer,"89,020",
rochester minnesotafrontend developer,,rochester minnesota,frontend developer,"89,020",
jacksonville floridafullstack developer,,jacksonville florida,fullstack developer,"89,020",
nebraskaconstruction superintendent,13-Jun-23,nebraska,construction superintendent,"89,019",
phoenix arizonamechanical engineer,14-Jun-23,phoenix arizona,mechanical engineer,"89,018",With two date
stevens point wisconsinsystems administrator,,stevens point wisconsin,systems administrator,"89,017",
arkansasfinancial planner,20-Apr-23,arkansas,financial planner,"89,017",
cincinnati ohiofrontend software engineer,13-Jun-23,cincinnati ohio,frontend software engineer,"89,014",With two date
corning new yorksenior software engineer,30-Sep-19,corning new york,senior software engineer,"89,013",
waukegan illinoissenior engineer,,waukegan illinois,senior engineer,"89,012",
west virginiasenior engineering manager,,west virginia,senior engineering manager,"89,010",
terre haute indianasenior engineer,,terre haute indiana,senior engineer,"89,009",
singaporecybersecurity consultant,11-Apr-23,singapore,cybersecurity consultant,"89,008",With two date
charlotte north carolinaweb developer,13-Jun-23,charlotte north carolina,web developer,"89,006",
manitobasystems administrator,,manitoba,systems administrator,"89,004",
long island new yorksenior engineer,13-Apr-23,long island new york,senior engineer,"89,004",
basalt coloradoinformation technology manager,,basalt colorado,information technology manager,"89,004",
lincoln nebraskasoftware engineer,10-Jun-23,lincoln nebraska,software engineer,"89,003",With two date
south dakotacloud engineer,,south dakota,cloud engineer,"88,987",
irvine californiafinancial advisor,24-May-23,irvine california,financial advisor,"88,984",
stillwater oklahomasenior engineer,,stillwater oklahoma,senior engineer,"88,984",
connecticutprincipal cloud engineer,26-May-23,connecticut,principal cloud engineer,"88,978",With two date
lexington kentuckytruck dr4er,13-Jun-23,lexington kentucky,truck dr4er,"88,978",
canadaprincipal senior web developer,8-Jun-23,canada,principal senior web developer,"88,978",
massachusettshealthcare recruiter,23-Apr-23,massachusetts,healthcare recruiter,"88,977",
tacoma washingtonfullstack developer,,tacoma washington,fullstack developer,"88,968",
sacramento californiasoftware engineer 2,,sacramento california,software engineer 2,"88,967",
pennsylvaniaclinical nurse educator,18-May-23,pennsylvania,clinical nurse educator,"88,961",
plymouth minnesotasoftware manager,,plymouth minnesota,software manager,"88,961",
little rock arkansassuperintendent,,little rock arkansas,superintendent,"88,956",
san diego californiajava developer,4-Jun-23,san diego california,java developer,"88,955",With two date
cleveland ohioreal estate agent,11-Jun-23,cleveland ohio,real estate agent,"88,949",With two date
suffolk virginiabusiness intelligence developer,,suffolk virginia,business intelligence developer,"88,948",
lincoln nebraskamechanical engineer,14-Jun-23,lincoln nebraska,mechanical engineer,"88,947",With two date
californiaexecut4e chef,13-May-23,california,execut4e chef,"88,944",With two date
scarborough maine.net developer,,scarborough maine,.net developer,"88,944",
las vegas nevadawater treatment specialist,,las vegas nevada,water treatment specialist,"88,943",
sherman texasfrontend software engineer,,sherman texas,frontend software engineer,"88,938",
rhode islandfinancial advisor,21-Apr-23,rhode island,financial advisor,"88,934",
tampa floridarevenue cycle specialist,8-Mar-23,tampa florida,revenue cycle specialist,"88,934",
chattanooga tennesseecontroller,28-Apr-23,chattanooga tennessee,controller,"88,933",
birmingham alabamafamily nurse practitioner,20-May-23,birmingham alabama,family nurse practitioner,"88,933",With two date
edmonton abconductor,5-Apr-23,edmonton ab,conductor,"88,931",With two date
seattle washingtonconstruction estimator,20-Apr-23,seattle washington,construction estimator,"88,930",
tennesseesoftware test engineer,,tennessee,software test engineer,"88,924",
phoenix arizonachiropractor,9-Jun-23,phoenix arizona,chiropractor,"88,920",
pittsburgh pennsylvaniafinancial professional,,pittsburgh pennsylvania,financial professional,"88,913",
kalispell montanasenior application developer,,kalispell montana,senior application developer,"88,909",
iowasoftware test engineer,,iowa,software test engineer,"88,906",
salt lake city utahsenior systems administrator,,salt lake city utah,senior systems administrator,"88,903",
overland park kansasdata analyst,,overland park kansas,data analyst,"88,900",
birmingham alabamamechanical engineer,13-May-23,birmingham alabama,mechanical engineer,"88,891",
massachusettsfrontend software engineer,13-Jun-23,massachusetts,frontend software engineer,"88,891",With two date
utahprincipal cloud engineer,14-Jun-23,utah,principal cloud engineer,"88,890",
new jerseygeotechnical engineer,26-May-23,new jersey,geotechnical engineer,"88,887",
venice floridaengineer manager,25-Feb-23,venice florida,engineer manager,"88,883",
renton washingtonengineer manager,,renton washington,engineer manager,"88,878",
maple valley washingtonsenior engineering manager,,maple valley washington,senior engineering manager,"88,877",
australiajunior engineer manager,6-Jun-23,australia,junior engineer manager,"88,876",
tacoma washingtonsolutions architect,20-Mar-23,tacoma washington,solutions architect,"88,874",With two date
oregonmechanical engineer,13-Jun-23,oregon,mechanical engineer,"88,868",
toronto ontarioaudit partner,9-Jun-23,toronto ontario,audit partner,"88,865",
pennsylvaniageneral contractor,9-May-23,pennsylvania,general contractor,"88,863",
minneapolis minnesotaassistant controller,27-Mar-23,minneapolis minnesota,assistant controller,"88,856",
round rock texasweb developer,,round rock texas,web developer,"88,852",
horicon wisconsinsoftware engineer,,horicon wisconsin,software engineer,"88,846",
victoria bcsolutions architect,8-Apr-23,victoria bc,solutions architect,"88,846",
boise idahoterritory sales,24-Feb-23,boise idaho,territory sales,"88,844",
syracuse new yorksystems administrator,,syracuse new york,systems administrator,"88,841",
san jose californiadesigner,25-May-23,san jose california,designer,"88,841",With two date
kensington washingtondata engineer,,kensington washington,data engineer,"88,837",
maple grove minnesotasenior system engineer,,maple grove minnesota,senior system engineer,"88,832",
wisconsinenvironmental health and safety officer,8-May-23,wisconsin,environmental health and safety officer,"88,825",
cranberry township pennsylvaniasenior engineering manager,,cranberry township pennsylvania,senior engineering manager,"88,820",
west palm beach floridasales execut4e,,west palm beach florida,sales execut4e,"88,817",
rochester new yorkdata analyst,,rochester new york,data analyst,"88,813",
prescott arizonadirector of engineering,31-Jan-22,prescott arizona,director of engineering,"88,811",
boise idahofrontend developer,,boise idaho,frontend developer,"88,808",
phoenix arizonatruck dr4er,13-Jun-23,phoenix arizona,truck dr4er,"88,805",With two date
cleveland mississippisoftware engineer,,cleveland mississippi,software engineer,"88,804",
rockford illinoisfrontend software engineer,,rockford illinois,frontend software engineer,"88,804",
bozeman montanaprincipal technical lead,,bozeman montana,principal technical lead,"88,801",
lenexa kansasengineer manager,5-Jun-23,lenexa kansas,engineer manager,"88,799",
ohio city ohioengineer manager,,ohio city ohio,engineer manager,"88,798",
haltom city texassoftware developer,,haltom city texas,software developer,"88,798",
arkansasit developer,,arkansas,it developer,"88,786",
salt lake city utahmechanical engineer,,salt lake city utah,mechanical engineer,"88,785",
oklahomachiropractor,10-Jun-23,oklahoma,chiropractor,"88,785",
dahlgren virginiasoftware engineer,12-Apr-23,dahlgren virginia,software engineer,"88,784",
scottsdale arizonaprincipal cloud engineer,5-May-23,scottsdale arizona,principal cloud engineer,"88,783",
kansas city kansassystems administrator,,kansas city kansas,systems administrator,"88,783",
kentuckychiropractor,28-Apr-23,kentucky,chiropractor,"88,782",With two date
canadahome inspector,12-Jun-23,canada,home inspector,"88,781",
midtown new york new yorksenior system engineer,,midtown new york new york,senior system engineer,"88,780",
colorado springs coloradoclinical nurse educator,,colorado springs colorado,clinical nurse educator,"88,779",
post falls idahofullstack developer,,post falls idaho,fullstack developer,"88,778",
melbourne vicsolar consultant,27-Oct-22,melbourne vic,solar consultant,"88,775",With two date
arizonalinguist,,arizona,linguist,"88,772",
king of prussia pennsylvaniadata scientist,,king of prussia pennsylvania,data scientist,"88,766",
californialogistics management specialist,8-Mar-22,california,logistics management specialist,"88,763",With two date
olympia washingtonengineer manager,8-Jun-23,olympia washington,engineer manager,"88,761",With two date
oshkosh wisconsin.net developer,,oshkosh wisconsin,.net developer,"88,755",
kansaspilot,22-Apr-23,kansas,pilot,"88,753",
san diego californiaoutpatient therapist,4-May-23,san diego california,outpatient therapist,"88,752",With two date
charlotte north carolinait support engineer,24-May-23,charlotte north carolina,it support engineer,"88,751",
new yorkreal estate agent,15-Jun-23,new york,real estate agent,"88,747",
arkansasnurse consultant,,arkansas,nurse consultant,"88,746",
shoreline washingtonsenior software developer,,shoreline washington,senior software developer,"88,746",
palm springs californiachief technology officer,19-Jan-23,palm springs california,chief technology officer,"88,745",
lubbock texasfullstack developer,,lubbock texas,fullstack developer,"88,744",
virginiaaudiologist,27-May-23,virginia,audiologist,"88,743",
canadajunior data analyst,11-Jun-23,canada,junior data analyst,"88,738",
hoboken new jerseyweb developer,1-Apr-20,hoboken new jersey,web developer,"88,736",
spokane washingtondata analyst,,spokane washington,data analyst,"88,726",
kentuckysafety specialist,,kentucky,safety specialist,"88,724",
nebraskafrontend developer,,nebraska,frontend developer,"88,715",
pullman washingtonengineer manager,,pullman washington,engineer manager,"88,711",
boston massachusettsjunior frontend developer,,boston massachusetts,junior frontend developer,"88,709",
fort walton beach floridasenior system engineer,2-Mar-21,fort walton beach florida,senior system engineer,"88,708",
nashville tennesseenurse consultant,24-Apr-23,nashville tennessee,nurse consultant,"88,708",
lexington kentuckysolutions architect,,lexington kentucky,solutions architect,"88,707",
cincinnati ohioimplementation consultant,3-Nov-22,cincinnati ohio,implementation consultant,"88,706",
