locationjob,date,location,job,salary,two_date
milpitas californiafinancial controller,18-Apr-23,milpitas california,financial controller,"123,914",
queenslandsolutions architect,,queensland,solutions architect,"123,914",
oregonhospice nurse,1-Apr-23,oregon,hospice nurse,"123,903",
connecticutsoftware manager,24-Jan-23,connecticut,software manager,"123,898",
union city oklahomaprincipal software engineer,,union city oklahoma,principal software engineer,"123,897",
bountiful utahprincipal software engineer,,bountiful utah,principal software engineer,"123,894",
renton washingtonsoftware engineer,24-May-23,renton washington,software engineer,"123,892",
chandler arizonasolutions architect,,chandler arizona,solutions architect,"123,892",
new york new yorkpublic affairs specialist,19-May-23,new york new york,public affairs specialist,"123,880",
santa fe new mexicochief operating officer,14-May-22,santa fe new mexico,chief operating officer,"123,878",
brampton ontarioprincipal software engineer,,brampton ontario,principal software engineer,"123,873",
stpsychiatric-mental health nurse practitioner,16-May-23,st,psychiatric-mental health nurse practitioner,"123,871",With two date
cincinnati ohiopsychologist,9-Mar-23,cincinnati ohio,psychologist,"123,865",With two date
new jersey wildlife and game refuge new jerseydata engineer,,new jersey wildlife and game refuge new jersey,data engineer,"123,859",
hartford connecticutsoftware engineering manager,,hartford connecticut,software engineering manager,"123,831",
cleveland ohiophysician,13-Jun-23,cleveland ohio,physician,"123,790",With two date
brampton ontariodata engineer,,brampton ontario,data engineer,"123,788",
raleigh north carolinasenior java developer,,raleigh north carolina,senior java developer,"123,781",
tennesseesystems administrator,,tennessee,systems administrator,"123,777",
mclean virginiasoftware engineer,17-Apr-23,mclean virginia,software engineer,"123,776",
chandler arizonasenior engineering manager,,chandler arizona,senior engineering manager,"123,769",
fairfax virginiasenior system engineer,4-Jun-23,fairfax virginia,senior system engineer,"123,749",
tucson arizonasoftware test engineer,19-Apr-23,tucson arizona,software test engineer,"123,749",
ashburn virginiait developer,,ashburn virginia,it developer,"123,744",
devens massachusettssenior data scientist,7-Feb-23,devens massachusetts,senior data scientist,"123,735",
charleston south carolinasenior security engineer,,charleston south carolina,senior security engineer,"123,724",
norway mainesoftware engineer,9-Oct-22,norway maine,software engineer,"123,722",
